Race UID,Bib,Pcs Id,Team Pcs Id,Rider,Flag
itzulia-basque-country:2026,1,mikel-landa,soudal-quick-step-2026,LANDA Mikel,es
itzulia-basque-country:2026,2,ayco-bastiaens,soudal-quick-step-2026,BASTIAENS Ayco,be
itzulia-basque-country:2026,3,steff-cras,soudal-quick-step-2026,CRAS Steff,be
itzulia-basque-country:2026,4,mauri-vansevenant,soudal-quick-step-2026,VANSEVENANT Mauri,be
itzulia-basque-country:2026,5,martin-svrcek,soudal-quick-step-2026,SVRČEK Martin,sk
itzulia-basque-country:2026,6,ilan-van-wilder,soudal-quick-step-2026,VAN WILDER Ilan,be
itzulia-basque-country:2026,7,ethan-hayter,soudal-quick-step-2026,HAYTER Ethan,gb
itzulia-basque-country:2026,11,clement-champoussin,xds-astana-team-2026,CHAMPOUSSIN Clément,fr
itzulia-basque-country:2026,12,lorenzo-fortunato,xds-astana-team-2026,FORTUNATO Lorenzo,it
itzulia-basque-country:2026,13,sergio-higuita,xds-astana-team-2026,HIGUITA Sergio,co
itzulia-basque-country:2026,14,harold-tejada,xds-astana-team-2026,TEJADA Harold,co
itzulia-basque-country:2026,15,nicola-conci,xds-astana-team-2026,CONCI Nicola,it
itzulia-basque-country:2026,16,christian-scaroni,xds-astana-team-2026,SCARONI Christian,it
itzulia-basque-country:2026,17,simone-velasco,xds-astana-team-2026,VELASCO Simone,it
itzulia-basque-country:2026,21,guillaume-martin,groupama-fdj-united-2026,MARTIN Guillaume,fr
itzulia-basque-country:2026,22,clement-braz-afonso,groupama-fdj-united-2026,BRAZ AFONSO Clément,fr
itzulia-basque-country:2026,23,maxime-decomble,groupama-fdj-united-2026,DECOMBLE Maxime,fr
itzulia-basque-country:2026,24,kevin-geniets,groupama-fdj-united-2026,GENIETS Kevin,lu
itzulia-basque-country:2026,25,quentin-pacher,groupama-fdj-united-2026,PACHER Quentin,fr
itzulia-basque-country:2026,26,enzo-paleni,groupama-fdj-united-2026,PALENI Enzo,fr
itzulia-basque-country:2026,27,remy-rochas,groupama-fdj-united-2026,ROCHAS Rémy,fr
itzulia-basque-country:2026,31,isaac-del-toro,uae-team-emirates-xrg-2026,DEL TORO Isaac,mx
itzulia-basque-country:2026,32,brandon-mcnulty,uae-team-emirates-xrg-2026,MCNULTY Brandon,us
itzulia-basque-country:2026,33,igor-arrieta-lizarraga,uae-team-emirates-xrg-2026,ARRIETA Igor,es
itzulia-basque-country:2026,34,felix-grossschartner,uae-team-emirates-xrg-2026,GROßSCHARTNER Felix,at
itzulia-basque-country:2026,35,domen-novak,uae-team-emirates-xrg-2026,NOVAK Domen,si
itzulia-basque-country:2026,36,adria-pericas-capdevila,uae-team-emirates-xrg-2026,PERICAS Adrià,es
itzulia-basque-country:2026,37,marc-soler,uae-team-emirates-xrg-2026,SOLER Marc,es
itzulia-basque-country:2026,41,juan-ayuso-pesquera,lidl-trek-2026,AYUSO Juan,es
itzulia-basque-country:2026,42,bauke-mollema,lidl-trek-2026,MOLLEMA Bauke,nl
itzulia-basque-country:2026,43,andrea-bagioli,lidl-trek-2026,BAGIOLI Andrea,it
itzulia-basque-country:2026,44,julien-bernard,lidl-trek-2026,BERNARD Julien,fr
itzulia-basque-country:2026,45,carlos-verona,lidl-trek-2026,VERONA Carlos,es
itzulia-basque-country:2026,46,mattias-skjelmose-jensen,lidl-trek-2026,SKJELMOSE Mattias,dk
itzulia-basque-country:2026,47,quinn-simmons,lidl-trek-2026,SIMMONS Quinn,us
itzulia-basque-country:2026,51,primoz-roglic,red-bull-bora-hansgrohe-2026,ROGLIČ Primož,si
itzulia-basque-country:2026,52,haimar-etxeberria,red-bull-bora-hansgrohe-2026,ETXEBERRIA Haimar,es
itzulia-basque-country:2026,53,florian-lipowitz,red-bull-bora-hansgrohe-2026,LIPOWITZ Florian,de
