Stage UID,Stage,Rank,Previous Stage Ranking,Change,Bib,Specialty,Rider,Age,Team,UCI,Bonis,Time,Delta
itzulia-basque-country:2026:1,1,1,,,61,,Seixas Paul,,,,,00:17:09,
itzulia-basque-country:2026:1,1,2,,,183,,Vauquelin Kévin,,,,,00:17:32,00:00:23
itzulia-basque-country:2026:1,1,3,,,34,,Großschartner Felix,,,,,00:17:36,00:00:27
itzulia-basque-country:2026:1,1,4,,,51,,Roglič Primož,,,,,00:17:37,00:00:28
itzulia-basque-country:2026:1,1,5,,,6,,Van Wilder Ilan,,,,,00:17:38,00:00:29
itzulia-basque-country:2026:1,1,6,,,53,,Lipowitz Florian,,,,,00:17:42,00:00:33
itzulia-basque-country:2026:1,1,7,,,181,,August Andrew,,,,,00:17:49,00:00:40
itzulia-basque-country:2026:1,1,8,,,32,,McNulty Brandon,,,,,00:17:52,00:00:43
itzulia-basque-country:2026:1,1,9,,,46,,Skjelmose Mattias,,,,,00:17:54,00:00:45
itzulia-basque-country:2026:1,1,10,,,177,,Leonard Michael,,,,,00:17:55,00:00:46
itzulia-basque-country:2026:1,1,11,,,97,,Romo Javier,,,,,00:17:57,00:00:48
itzulia-basque-country:2026:1,1,12,,,191,,Armirail Bruno,,,,,00:17:59,00:00:50
itzulia-basque-country:2026:1,1,13,,,31,,del Toro Isaac,,,,,00:18:00,00:00:51
itzulia-basque-country:2026:1,1,14,,,194,,Tulett Ben,,,,,00:18:01,00:00:52
itzulia-basque-country:2026:1,1,15,,,4,,Vansevenant Mauri,,,,,00:18:01,00:00:52
itzulia-basque-country:2026:1,1,16,,,186,,Øxenberg Peter,,,,,00:18:02,00:00:53
itzulia-basque-country:2026:1,1,17,,,111,,Bilbao Pello,,,,,00:18:02,00:00:53
itzulia-basque-country:2026:1,1,18,,,14,,Tejada Harold,,,,,00:18:04,00:00:55
itzulia-basque-country:2026:1,1,19,,,1,,Landa Mikel,,,,,00:18:04,00:00:55
itzulia-basque-country:2026:1,1,20,,,176,,Baudin Alex,,,,,00:18:05,00:00:56
itzulia-basque-country:2026:1,1,21,,,7,,Hayter Ethan,,,,,00:18:05,00:00:56
itzulia-basque-country:2026:1,1,22,,,202,,Johannessen Tobias Halland,,,,,00:18:06,00:00:57
itzulia-basque-country:2026:1,1,23,,,62,,Riccitello Matthew,,,,,00:18:07,00:00:58
itzulia-basque-country:2026:1,1,24,,,141,,Izagirre Ion,,,,,00:18:10,00:01:01
itzulia-basque-country:2026:1,1,25,,,204,,Kron Andreas,,,,,00:18:10,00:01:01
itzulia-basque-country:2026:1,1,26,,,37,,Soler Marc,,,,,00:18:10,00:01:01
itzulia-basque-country:2026:1,1,27,,,133,,Brenner Marco,,,,,00:18:11,00:01:02
itzulia-basque-country:2026:1,1,28,,,22,,Braz Afonso Clément,,,,,00:18:14,00:01:05
itzulia-basque-country:2026:1,1,29,,,63,,Bisiaux Léo,,,,,00:18:14,00:01:05
itzulia-basque-country:2026:1,1,30,,,172,,Beloki Markel,,,,,00:18:15,00:01:06
itzulia-basque-country:2026:1,1,31,,,142,,Aranburu Alex,,,,,00:18:16,00:01:07
itzulia-basque-country:2026:1,1,32,,,3,,Cras Steff,,,,,00:18:18,00:01:09
itzulia-basque-country:2026:1,1,33,,,94,,García Pierna Raúl,,,,,00:18:18,00:01:09
itzulia-basque-country:2026:1,1,34,,,131,,Alaphilippe Julian,,,,,00:18:20,00:01:11
itzulia-basque-country:2026:1,1,35,,,65,,Prodhomme Nicolas,,,,,00:18:20,00:01:11
itzulia-basque-country:2026:1,1,36,,,171,,Healy Ben,,,,,00:18:22,00:01:13
itzulia-basque-country:2026:1,1,37,,,185,,Laurance Axel,,,,,00:18:23,00:01:14
itzulia-basque-country:2026:1,1,38,,,41,,Ayuso Juan,,,,,00:18:25,00:01:16
itzulia-basque-country:2026:1,1,39,,,203,,Johannessen Anders Halland,,,,,00:18:26,00:01:17
itzulia-basque-country:2026:1,1,40,,,25,,Pacher Quentin,,,,,00:18:29,00:01:20
itzulia-basque-country:2026:1,1,41,,,26,,Paleni Enzo,,,,,00:18:29,00:01:20
itzulia-basque-country:2026:1,1,42,,,11,,Champoussin Clément,,,,,00:18:30,00:01:21
itzulia-basque-country:2026:1,1,43,,,64,,Labrosse Jordan,,,,,00:18:31,00:01:22
itzulia-basque-country:2026:1,1,44,,,57,,Herzog Emil,,,,,00:18:31,00:01:22
itzulia-basque-country:2026:1,1,45,,,101,,van den Broek Frank,,,,,00:18:32,00:01:23
itzulia-basque-country:2026:1,1,46,,,184,,Langellotti Victor,,,,,00:18:33,00:01:24
itzulia-basque-country:2026:1,1,47,,,67,,Paret-Peintre Aurélien,,,,,00:18:33,00:01:24
itzulia-basque-country:2026:1,1,48,,,116,,Tiberi Antonio,,,,,00:18:33,00:01:24
itzulia-basque-country:2026:1,1,49,,,173,,Shaw James,,,,,00:18:34,00:01:25
itzulia-basque-country:2026:1,1,50,,,91,,Uijtdebroeks Cian,,,,,00:18:35,00:01:26
itzulia-basque-country:2026:1,1,51,,,87,,Ruiz Ibon,,,,,00:18:36,00:01:27
itzulia-basque-country:2026:1,1,52,,,197,,Fiorelli Filippo,,,,,00:18:36,00:01:27
itzulia-basque-country:2026:1,1,53,,,56,,Tuckwell Luke,,,,,00:18:38,00:01:29
itzulia-basque-country:2026:1,1,54,,,143,,Buchmann Emanuel,,,,,00:18:38,00:01:29
itzulia-basque-country:2026:1,1,55,,,154,,Molenaar Alex,,,,,00:18:39,00:01:30
itzulia-basque-country:2026:1,1,56,,,47,,Simmons Quinn,,,,,00:18:39,00:01:30
itzulia-basque-country:2026:1,1,57,,,33,,Arrieta Igor,,,,,00:18:40,00:01:31
itzulia-basque-country:2026:1,1,58,,,124,,Verstrynge Emiel,,,,,00:18:41,00:01:32
itzulia-basque-country:2026:1,1,59,,,44,,Bernard Julien,,,,,00:18:42,00:01:33
itzulia-basque-country:2026:1,1,60,,,216,,Veistroffer Baptiste,,,,,00:18:43,00:01:34
itzulia-basque-country:2026:1,1,61,,,36,,Pericas Adrià,,,,,00:18:43,00:01:34
itzulia-basque-country:2026:1,1,62,,,163,,Juaristi Txomin,,,,,00:18:44,00:01:35
itzulia-basque-country:2026:1,1,63,,,192,,Graat Tijmen,,,,,00:18:45,00:01:36
itzulia-basque-country:2026:1,1,64,,,17,,Velasco Simone,,,,,00:18:45,00:01:36
itzulia-basque-country:2026:1,1,65,,,66,,Staune-Mittet Johannes,,,,,00:18:47,00:01:38
itzulia-basque-country:2026:1,1,66,,,5,,Svrček Martin,,,,,00:18:48,00:01:39
itzulia-basque-country:2026:1,1,67,,,205,,Kulset Johannes,,,,,00:18:49,00:01:40
itzulia-basque-country:2026:1,1,68,,,125,,Dockx Aaron,,,,,00:18:49,00:01:40
itzulia-basque-country:2026:1,1,69,,,121,,Houle Hugo,,,,,00:18:50,00:01:41
itzulia-basque-country:2026:1,1,70,,,21,,Martin Guillaume,,,,,00:18:50,00:01:41
itzulia-basque-country:2026:1,1,71,,,27,,Rochas Rémy,,,,,00:18:50,00:01:41
itzulia-basque-country:2026:1,1,72,,,107,,Gaffuri Mattia,,,,,00:18:53,00:01:44
itzulia-basque-country:2026:1,1,73,,,105,,Koerdt Bjorn,,,,,00:18:53,00:01:44
itzulia-basque-country:2026:1,1,74,,,132,,Weiss Fabian,,,,,00:18:53,00:01:44
itzulia-basque-country:2026:1,1,75,,,43,,Bagioli Andrea,,,,,00:18:54,00:01:45
itzulia-basque-country:2026:1,1,76,,,113,,Kepplinger Rainer,,,,,00:18:57,00:01:48
itzulia-basque-country:2026:1,1,77,,,93,,López Juan Pedro,,,,,00:18:57,00:01:48
itzulia-basque-country:2026:1,1,78,,,207,,Træen Torstein,,,,,00:18:58,00:01:49
itzulia-basque-country:2026:1,1,79,,,13,,Higuita Sergio,,,,,00:18:59,00:01:50
itzulia-basque-country:2026:1,1,80,,,175,,van der Lee Jardi Christiaan,,,,,00:18:59,00:01:50
itzulia-basque-country:2026:1,1,81,,,174,,Nerurkar Lukas,,,,,00:19:03,00:01:54
itzulia-basque-country:2026:1,1,82,,,167,,Mintegi Iker,,,,,00:19:04,00:01:55
itzulia-basque-country:2026:1,1,83,,,147,,Ourselin Paul,,,,,00:19:04,00:01:55
itzulia-basque-country:2026:1,1,84,,,55,,Moscon Gianni,,,,,00:19:04,00:01:55
itzulia-basque-country:2026:1,1,85,,,187,,Rivera Brandon Smith,,,,,00:19:05,00:01:56
itzulia-basque-country:2026:1,1,86,,,195,,Kruijswijk Steven,,,,,00:19:05,00:01:56
itzulia-basque-country:2026:1,1,87,,,217,,Zimmermann Georg,,,,,00:19:06,00:01:57
itzulia-basque-country:2026:1,1,88,,,104,,Knox James,,,,,00:19:06,00:01:57
itzulia-basque-country:2026:1,1,89,,,196,,Rex Tim,,,,,00:19:08,00:01:59
itzulia-basque-country:2026:1,1,90,,,126,,Glivar Gal,,,,,00:19:09,00:02:00
itzulia-basque-country:2026:1,1,91,,,166,,Martín Gotzon,,,,,00:19:11,00:02:02
itzulia-basque-country:2026:1,1,92,,,84,,Iribar Unai,,,,,00:19:11,00:02:02
itzulia-basque-country:2026:1,1,93,,,161,,Ugarte Gari,,,,,00:19:12,00:02:03
itzulia-basque-country:2026:1,1,94,,,153,,Fernández Samuel,,,,,00:19:13,00:02:04
itzulia-basque-country:2026:1,1,95,,,75,,García Pierna Carlos,,,,,00:19:13,00:02:04
itzulia-basque-country:2026:1,1,96,,,12,,Fortunato Lorenzo,,,,,00:19:14,00:02:05
itzulia-basque-country:2026:1,1,97,,,122,,Debruyne Ramses,,,,,00:19:16,00:02:07
itzulia-basque-country:2026:1,1,98,,,15,,Conci Nicola,,,,,00:19:17,00:02:08
itzulia-basque-country:2026:1,1,99,,,81,,Elosegui Iñigo,,,,,00:19:17,00:02:08
itzulia-basque-country:2026:1,1,100,,,35,,Novak Domen,,,,,00:19:18,00:02:09
itzulia-basque-country:2026:1,1,101,,,112,,Ermakov Roman,,,,,00:19:19,00:02:10
itzulia-basque-country:2026:1,1,102,,,162,,Bizkarra Mikel,,,,,00:19:25,00:02:16
itzulia-basque-country:2026:1,1,103,,,102,,Dinham Matthew,,,,,00:19:26,00:02:17
itzulia-basque-country:2026:1,1,104,,,76,,Díaz José Manuel,,,,,00:19:27,00:02:18
itzulia-basque-country:2026:1,1,105,,,136,,Wilksch Hannes,,,,,00:19:28,00:02:19
itzulia-basque-country:2026:1,1,106,,,214,,Orins Robin,,,,,00:19:28,00:02:19
itzulia-basque-country:2026:1,1,107,,,215,,Thompson Reuben,,,,,00:19:30,00:02:21
itzulia-basque-country:2026:1,1,108,,,72,,Quartucci Lorenzo,,,,,00:19:30,00:02:21
itzulia-basque-country:2026:1,1,109,,,152,,Castellon Jan,,,,,00:19:31,00:02:22
itzulia-basque-country:2026:1,1,110,,,155,,Arriolabengoa Julen,,,,,00:19:31,00:02:22
itzulia-basque-country:2026:1,1,111,,,146,,Maas Jan,,,,,00:19:32,00:02:23
itzulia-basque-country:2026:1,1,112,,,103,,Faure Prost Alexy,,,,,00:19:32,00:02:23
itzulia-basque-country:2026:1,1,113,,,164,,Lastra Jonathan,,,,,00:19:32,00:02:23
itzulia-basque-country:2026:1,1,114,,,16,,Scaroni Christian,,,,,00:19:32,00:02:23
itzulia-basque-country:2026:1,1,115,,,145,,Joalland Yaël,,,,,00:19:33,00:02:24
itzulia-basque-country:2026:1,1,116,,,193,,Huising Menno,,,,,00:19:33,00:02:24
itzulia-basque-country:2026:1,1,117,,,117,,Valter Attila,,,,,00:19:33,00:02:24
itzulia-basque-country:2026:1,1,118,,,213,,Ørn-Kristoff Felix,,,,,00:19:35,00:02:26
itzulia-basque-country:2026:1,1,119,,,96,,Adrià Roger,,,,,00:19:35,00:02:26
itzulia-basque-country:2026:1,1,120,,,2,,Bastiaens Ayco,,,,,00:19:36,00:02:27
itzulia-basque-country:2026:1,1,121,,,157,,López Joseba,,,,,00:19:36,00:02:27
itzulia-basque-country:2026:1,1,122,,,134,,Eriksson Jacob,,,,,00:19:39,00:02:30
itzulia-basque-country:2026:1,1,123,,,77,,Fajardo Adrián,,,,,00:19:40,00:02:31
itzulia-basque-country:2026:1,1,124,,,52,,Etxeberria Haimar,,,,,00:19:40,00:02:31
itzulia-basque-country:2026:1,1,125,,,206,,Tjøtta Martin,,,,,00:19:40,00:02:31
itzulia-basque-country:2026:1,1,126,,,165,,Alustiza Nicolás,,,,,00:19:42,00:02:33
itzulia-basque-country:2026:1,1,127,,,123,,Belmans Lennert,,,,,00:19:44,00:02:35
itzulia-basque-country:2026:1,1,128,,,73,,Faura José Luis,,,,,00:19:45,00:02:36
itzulia-basque-country:2026:1,1,129,,,45,,Verona Carlos,,,,,00:19:46,00:02:37
itzulia-basque-country:2026:1,1,130,,,156,,Bou Joan,,,,,00:19:49,00:02:40
itzulia-basque-country:2026:1,1,131,,,74,,Fernández Sinuhé,,,,,00:19:49,00:02:40
itzulia-basque-country:2026:1,1,132,,,212,,Fox Matthew,,,,,00:19:54,00:02:45
itzulia-basque-country:2026:1,1,133,,,95,,Tesfatsion Natnael,,,,,00:19:57,00:02:48
itzulia-basque-country:2026:1,1,134,,,92,,Arcas Jorge,,,,,00:19:58,00:02:49
itzulia-basque-country:2026:1,1,135,,,86,,Gutiérrez Jorge,,,,,00:19:58,00:02:49
itzulia-basque-country:2026:1,1,136,,,115,,Stockwell Oliver,,,,,00:19:59,00:02:50
itzulia-basque-country:2026:1,1,137,,,144,,Meehan Jamie,,,,,00:19:59,00:02:50
itzulia-basque-country:2026:1,1,138,,,182,,Hamilton Lucas,,,,,00:20:00,00:02:51
itzulia-basque-country:2026:1,1,139,,,83,,Gimeno Nil,,,,,00:20:02,00:02:53
