Stage UID,Stage,Rank,Previous Stage Ranking,Change,Bib,Specialty,Rider,Age,Team,Points,Today
itzulia-basque-country:2026:1,1,1,,,61,,Seixas Paul,,,,
itzulia-basque-country:2026:1,1,2,,,42,,Mollema Bauke,,,,
itzulia-basque-country:2026:1,1,3,,,32,,McNulty Brandon,,,,
itzulia-basque-country:2026:2,2,1,1,,61,,Seixas Paul,,,,
itzulia-basque-country:2026:2,2,2,,,156,,Bou Joan,,,,
itzulia-basque-country:2026:2,2,3,,,46,,Skjelmose Mattias,,,,
itzulia-basque-country:2026:2,2,4,,,176,,Baudin Alex,,,,
itzulia-basque-country:2026:2,2,5,,,167,,Mintegi Iker,,,,
itzulia-basque-country:2026:2,2,6,,,53,,Lipowitz Florian,,,,
itzulia-basque-country:2026:2,2,7,,,91,,Uijtdebroeks Cian,,,,
itzulia-basque-country:2026:2,2,8,,,191,,Armirail Bruno,,,,
itzulia-basque-country:2026:2,2,9,2,,42,,Mollema Bauke,,,,
itzulia-basque-country:2026:2,2,10,,,77,,Fajardo Adrián,,,,
itzulia-basque-country:2026:2,2,11,,,141,,Izagirre Ion,,,,
itzulia-basque-country:2026:2,2,12,,,94,,García Pierna Raúl,,,,
itzulia-basque-country:2026:2,2,13,3,,32,,McNulty Brandon,,,,
itzulia-basque-country:2026:2,2,14,,,7,,Hayter Ethan,,,,
itzulia-basque-country:2026:2,2,15,,,101,,van den Broek Frank,,,,
itzulia-basque-country:2026:3,3,1,2,,156,,Bou Joan,,,,
itzulia-basque-country:2026:3,3,2,1,,61,,Seixas Paul,,,,
itzulia-basque-country:2026:3,3,3,,,33,,Arrieta Igor,,,,
itzulia-basque-country:2026:3,3,4,3,,46,,Skjelmose Mattias,,,,
itzulia-basque-country:2026:3,3,5,4,,176,,Baudin Alex,,,,
itzulia-basque-country:2026:3,3,6,5,,167,,Mintegi Iker,,,,
itzulia-basque-country:2026:3,3,7,6,,53,,Lipowitz Florian,,,,
itzulia-basque-country:2026:3,3,8,,,202,,Johannessen Tobias Halland,,,,
itzulia-basque-country:2026:3,3,9,7,,91,,Uijtdebroeks Cian,,,,
itzulia-basque-country:2026:3,3,10,,,6,,Van Wilder Ilan,,,,
itzulia-basque-country:2026:3,3,11,,,12,,Fortunato Lorenzo,,,,
itzulia-basque-country:2026:3,3,12,,,185,,Laurance Axel,,,,
itzulia-basque-country:2026:3,3,13,9,,42,,Mollema Bauke,,,,
itzulia-basque-country:2026:3,3,14,8,,191,,Armirail Bruno,,,,
itzulia-basque-country:2026:3,3,15,10,,77,,Fajardo Adrián,,,,
itzulia-basque-country:2026:3,3,16,11,,141,,Izagirre Ion,,,,
itzulia-basque-country:2026:3,3,17,,,175,,van der Lee Jardi Christiaan,,,,
itzulia-basque-country:2026:3,3,18,14,,7,,Hayter Ethan,,,,
itzulia-basque-country:2026:3,3,19,,,95,,Tesfatsion Natnael,,,,
itzulia-basque-country:2026:3,3,20,12,,94,,García Pierna Raúl,,,,
itzulia-basque-country:2026:3,3,21,13,,32,,McNulty Brandon,,,,
