Stage UID,Stage,Rank,Previous Stage Ranking,Change,Bib,Specialty,Rider,Age,Team,Points,Today,Bonis,Time,Delta
itzulia-basque-country:2026:1,1,1,,,61,,Seixas Paul,,,,,,,
itzulia-basque-country:2026:1,1,2,,,183,,Vauquelin Kévin,,,,,,,
itzulia-basque-country:2026:1,1,3,,,34,,Großschartner Felix,,,,,,,
itzulia-basque-country:2026:1,1,4,,,51,,Roglič Primož,,,,,,,
itzulia-basque-country:2026:1,1,5,,,6,,Van Wilder Ilan,,,,,,,
itzulia-basque-country:2026:1,1,6,,,53,,Lipowitz Florian,,,,,,,
itzulia-basque-country:2026:1,1,7,,,181,,August Andrew,,,,,,,
itzulia-basque-country:2026:1,1,8,,,32,,McNulty Brandon,,,,,,,
itzulia-basque-country:2026:1,1,9,,,46,,Skjelmose Mattias,,,,,,,
itzulia-basque-country:2026:1,1,10,,,177,,Leonard Michael,,,,,,,
itzulia-basque-country:2026:1,1,11,,,97,,Romo Javier,,,,,,,
itzulia-basque-country:2026:1,1,12,,,191,,Armirail Bruno,,,,,,,
itzulia-basque-country:2026:1,1,13,,,31,,del Toro Isaac,,,,,,,
itzulia-basque-country:2026:1,1,14,,,194,,Tulett Ben,,,,,,,
itzulia-basque-country:2026:1,1,15,,,4,,Vansevenant Mauri,,,,,,,
itzulia-basque-country:2026:2,2,1,1,,61,,Seixas Paul,,,,,,,
itzulia-basque-country:2026:2,2,2,4,,51,,Roglič Primož,,,,,,,
itzulia-basque-country:2026:2,2,3,9,,46,,Skjelmose Mattias,,,,,,,
itzulia-basque-country:2026:2,2,4,2,,183,,Vauquelin Kévin,,,,,,,
itzulia-basque-country:2026:2,2,5,6,,53,,Lipowitz Florian,,,,,,,
itzulia-basque-country:2026:2,2,6,3,,34,,Großschartner Felix,,,,,,,
itzulia-basque-country:2026:2,2,7,14,,194,,Tulett Ben,,,,,,,
itzulia-basque-country:2026:2,2,8,,,91,,Uijtdebroeks Cian,,,,,,,
itzulia-basque-country:2026:2,2,9,5,,6,,Van Wilder Ilan,,,,,,,
itzulia-basque-country:2026:2,2,10,,,7,,Hayter Ethan,,,,,,,
itzulia-basque-country:2026:2,2,11,,,176,,Baudin Alex,,,,,,,
itzulia-basque-country:2026:2,2,12,12,,191,,Armirail Bruno,,,,,,,
itzulia-basque-country:2026:2,2,13,,,141,,Izagirre Ion,,,,,,,
itzulia-basque-country:2026:2,2,14,7,,181,,August Andrew,,,,,,,
itzulia-basque-country:2026:2,2,15,13,,31,,del Toro Isaac,,,,,,,
itzulia-basque-country:2026:2,2,16,8,,32,,McNulty Brandon,,,,,,,
itzulia-basque-country:2026:2,2,17,,,11,,Champoussin Clément,,,,,,,
itzulia-basque-country:2026:2,2,18,,,14,,Tejada Harold,,,,,,,
itzulia-basque-country:2026:2,2,19,10,,177,,Leonard Michael,,,,,,,
itzulia-basque-country:2026:2,2,20,11,,97,,Romo Javier,,,,,,,
itzulia-basque-country:2026:2,2,21,,,41,,Ayuso Juan,,,,,,,
itzulia-basque-country:2026:2,2,22,,,156,,Bou Joan,,,,,,,
itzulia-basque-country:2026:2,2,23,,,172,,Beloki Markel,,,,,,,
itzulia-basque-country:2026:2,2,24,,,13,,Higuita Sergio,,,,,,,
itzulia-basque-country:2026:2,2,25,,,93,,López Juan Pedro,,,,,,,
itzulia-basque-country:2026:2,2,26,15,,4,,Vansevenant Mauri,,,,,,,
itzulia-basque-country:2026:3,3,1,1,,61,,Seixas Paul,,,,,,,
itzulia-basque-country:2026:3,3,2,,,185,,Laurance Axel,,,,,,,
itzulia-basque-country:2026:3,3,3,2,,51,,Roglič Primož,,,,,,,
itzulia-basque-country:2026:3,3,4,3,,46,,Skjelmose Mattias,,,,,,,
itzulia-basque-country:2026:3,3,5,9,,6,,Van Wilder Ilan,,,,,,,
itzulia-basque-country:2026:3,3,6,,,33,,Arrieta Igor,,,,,,,
itzulia-basque-country:2026:3,3,7,4,,183,,Vauquelin Kévin,,,,,,,
