Stage UID,Stage,Rank,Previous Stage Ranking,Change,Team,Class,Time,Delta
itzulia-basque-country:2026:1,1,1,,,INEOS Grenadiers,,00:53:23,
itzulia-basque-country:2026:1,1,2,,,UAE Team Emirates - XRG,,00:53:28,00:00:05
itzulia-basque-country:2026:1,1,3,,,Decathlon CMA CGM Team,,00:53:30,00:00:07
itzulia-basque-country:2026:1,1,4,,,Soudal Quick-Step,,00:53:43,00:00:20
itzulia-basque-country:2026:1,1,5,,,Red Bull - BORA - hansgrohe,,00:53:50,00:00:27
itzulia-basque-country:2026:1,1,6,,,EF Education - EasyPost,,00:54:15,00:00:52
itzulia-basque-country:2026:1,1,7,,,Team Visma | Lease a Bike,,00:54:36,00:01:13
itzulia-basque-country:2026:1,1,8,,,Uno-X Mobility,,00:54:42,00:01:19
itzulia-basque-country:2026:1,1,9,,,Movistar Team,,00:54:50,00:01:27
itzulia-basque-country:2026:1,1,10,,,Lidl - Trek,,00:54:58,00:01:35
itzulia-basque-country:2026:1,1,11,,,Cofidis,,00:55:04,00:01:41
itzulia-basque-country:2026:1,1,12,,,Groupama - FDJ United,,00:55:12,00:01:49
itzulia-basque-country:2026:1,1,13,,,XDS Astana Team,,00:55:19,00:01:56
itzulia-basque-country:2026:1,1,14,,,Tudor Pro Cycling Team,,00:55:24,00:02:01
itzulia-basque-country:2026:1,1,15,,,Bahrain - Victorious,,00:55:32,00:02:09
itzulia-basque-country:2026:1,1,16,,,Team Picnic PostNL,,00:56:18,00:02:55
itzulia-basque-country:2026:1,1,17,,,Alpecin-Premier Tech,,00:56:20,00:02:57
itzulia-basque-country:2026:1,1,18,,,Euskaltel - Euskadi,,00:56:59,00:03:36
itzulia-basque-country:2026:1,1,19,,,Equipo Kern Pharma,,00:57:04,00:03:41
itzulia-basque-country:2026:1,1,20,,,Lotto Intermarché,,00:57:17,00:03:54
itzulia-basque-country:2026:1,1,21,,,Caja Rural - Seguros RGA,,00:57:23,00:04:00
itzulia-basque-country:2026:1,1,22,,,Burgos Burpellet BH,,00:58:10,00:04:47
itzulia-basque-country:2026:2,2,1,13,,XDS Astana Team,,13:36:31,
itzulia-basque-country:2026:2,2,2,9,,Movistar Team,,13:36:47,00:00:16
itzulia-basque-country:2026:2,2,3,6,,EF Education - EasyPost,,13:37:03,00:00:32
itzulia-basque-country:2026:2,2,4,11,,Cofidis,,13:40:37,00:04:06
itzulia-basque-country:2026:2,2,5,5,,Red Bull - BORA - hansgrohe,,13:43:26,00:06:55
itzulia-basque-country:2026:2,2,6,3,,Decathlon CMA CGM Team,,13:43:29,00:06:58
itzulia-basque-country:2026:2,2,7,2,,UAE Team Emirates - XRG,,13:46:06,00:09:35
itzulia-basque-country:2026:2,2,8,21,,Caja Rural - Seguros RGA,,13:46:06,00:09:35
itzulia-basque-country:2026:2,2,9,22,,Burgos Burpellet BH,,13:46:13,00:09:42
itzulia-basque-country:2026:2,2,10,10,,Lidl - Trek,,13:46:17,00:09:46
itzulia-basque-country:2026:2,2,11,7,,Team Visma | Lease a Bike,,13:48:55,00:12:24
itzulia-basque-country:2026:2,2,12,12,,Groupama - FDJ United,,13:49:37,00:13:06
