Stage UID,Stage,Rank,Previous Stage Ranking,Change,Bib,Specialty,Rider,Age,Team
itzulia-basque-country:2026:1,1,1,,,61,,Seixas Paul,,
itzulia-basque-country:2026:1,1,2,,,181,,August Andrew,,
itzulia-basque-country:2026:1,1,3,,,177,,Leonard Michael,,
itzulia-basque-country:2026:1,1,4,,,186,,Øxenberg Peter,,
itzulia-basque-country:2026:1,1,5,,,63,,Bisiaux Léo,,
itzulia-basque-country:2026:1,1,6,,,172,,Beloki Markel,,
itzulia-basque-country:2026:1,1,7,,,57,,Herzog Emil,,
itzulia-basque-country:2026:1,1,8,,,56,,Tuckwell Luke,,
itzulia-basque-country:2026:1,1,9,,,36,,Pericas Adrià,,
itzulia-basque-country:2026:1,1,10,,,205,,Kulset Johannes,,
itzulia-basque-country:2026:1,1,11,,,125,,Dockx Aaron,,
itzulia-basque-country:2026:1,1,12,,,105,,Koerdt Bjorn,,
itzulia-basque-country:2026:1,1,13,,,196,,Rex Tim,,
itzulia-basque-country:2026:1,1,14,,,161,,Ugarte Gari,,
itzulia-basque-country:2026:1,1,15,,,112,,Ermakov Roman,,
itzulia-basque-country:2026:1,1,16,,,103,,Faure Prost Alexy,,
itzulia-basque-country:2026:1,1,17,,,193,,Huising Menno,,
itzulia-basque-country:2026:1,1,18,,,213,,Ørn-Kristoff Felix,,
itzulia-basque-country:2026:1,1,19,,,83,,Gimeno Nil,,
itzulia-basque-country:2026:1,1,20,,,106,,Martinez Juan Guillermo,,
itzulia-basque-country:2026:1,1,21,,,85,,Ramos Unai,,
itzulia-basque-country:2026:1,1,22,,,23,,Decomble Maxime,,
itzulia-basque-country:2026:1,1,23,,,211,,Kockelmann Mathieu,,
itzulia-basque-country:2026:2,2,1,1,,61,,Seixas Paul,,
itzulia-basque-country:2026:2,2,2,6,,172,,Beloki Markel,,
itzulia-basque-country:2026:2,2,3,4,,186,,Øxenberg Peter,,
itzulia-basque-country:2026:2,2,4,16,,103,,Faure Prost Alexy,,
itzulia-basque-country:2026:2,2,5,8,,56,,Tuckwell Luke,,
itzulia-basque-country:2026:2,2,6,10,,205,,Kulset Johannes,,
itzulia-basque-country:2026:2,2,7,9,,36,,Pericas Adrià,,
itzulia-basque-country:2026:2,2,8,20,,106,,Martinez Juan Guillermo,,
itzulia-basque-country:2026:2,2,9,2,,181,,August Andrew,,
itzulia-basque-country:2026:2,2,10,12,,105,,Koerdt Bjorn,,
itzulia-basque-country:2026:2,2,11,3,,177,,Leonard Michael,,
itzulia-basque-country:2026:2,2,12,13,,196,,Rex Tim,,
itzulia-basque-country:2026:2,2,13,19,,83,,Gimeno Nil,,
itzulia-basque-country:2026:2,2,14,14,,161,,Ugarte Gari,,
itzulia-basque-country:2026:2,2,15,15,,112,,Ermakov Roman,,
itzulia-basque-country:2026:2,2,16,21,,85,,Ramos Unai,,
itzulia-basque-country:2026:2,2,17,22,,23,,Decomble Maxime,,
itzulia-basque-country:2026:2,2,18,5,,63,,Bisiaux Léo,,
itzulia-basque-country:2026:2,2,19,7,,57,,Herzog Emil,,
itzulia-basque-country:2026:2,2,20,11,,125,,Dockx Aaron,,
itzulia-basque-country:2026:2,2,21,17,,193,,Huising Menno,,
itzulia-basque-country:2026:2,2,22,18,,213,,Ørn-Kristoff Felix,,
itzulia-basque-country:2026:3,3,1,1,,61,,Seixas Paul,,
itzulia-basque-country:2026:3,3,2,2,,172,,Beloki Markel,,
itzulia-basque-country:2026:3,3,3,3,,186,,Øxenberg Peter,,
itzulia-basque-country:2026:3,3,4,5,,56,,Tuckwell Luke,,
itzulia-basque-country:2026:3,3,5,7,,36,,Pericas Adrià,,
itzulia-basque-country:2026:3,3,6,10,,105,,Koerdt Bjorn,,
itzulia-basque-country:2026:3,3,7,9,,181,,August Andrew,,
itzulia-basque-country:2026:3,3,8,6,,205,,Kulset Johannes,,
itzulia-basque-country:2026:3,3,9,11,,177,,Leonard Michael,,
itzulia-basque-country:2026:3,3,10,17,,23,,Decomble Maxime,,
itzulia-basque-country:2026:3,3,11,18,,63,,Bisiaux Léo,,
itzulia-basque-country:2026:3,3,12,4,,103,,Faure Prost Alexy,,
itzulia-basque-country:2026:3,3,13,8,,106,,Martinez Juan Guillermo,,
itzulia-basque-country:2026:3,3,14,15,,112,,Ermakov Roman,,
itzulia-basque-country:2026:3,3,15,12,,196,,Rex Tim,,
itzulia-basque-country:2026:3,3,16,16,,85,,Ramos Unai,,
itzulia-basque-country:2026:3,3,17,13,,83,,Gimeno Nil,,
itzulia-basque-country:2026:3,3,18,14,,161,,Ugarte Gari,,
itzulia-basque-country:2026:3,3,19,20,,125,,Dockx Aaron,,
itzulia-basque-country:2026:3,3,20,21,,193,,Huising Menno,,
itzulia-basque-country:2026:3,3,21,19,,57,,Herzog Emil,,
itzulia-basque-country:2026:3,3,22,22,,213,,Ørn-Kristoff Felix,,
itzulia-basque-country:2026:4,4,1,1,,61,,Seixas Paul,,
itzulia-basque-country:2026:4,4,2,2,,172,,Beloki Markel,,
itzulia-basque-country:2026:4,4,3,4,,56,,Tuckwell Luke,,
itzulia-basque-country:2026:4,4,4,3,,186,,Øxenberg Peter,,
itzulia-basque-country:2026:4,4,5,11,,63,,Bisiaux Léo,,
itzulia-basque-country:2026:4,4,6,6,,105,,Koerdt Bjorn,,
itzulia-basque-country:2026:4,4,7,5,,36,,Pericas Adrià,,
itzulia-basque-country:2026:4,4,8,8,,205,,Kulset Johannes,,
itzulia-basque-country:2026:4,4,9,10,,23,,Decomble Maxime,,
itzulia-basque-country:2026:4,4,10,9,,177,,Leonard Michael,,
itzulia-basque-country:2026:4,4,11,13,,106,,Martinez Juan Guillermo,,
itzulia-basque-country:2026:4,4,12,15,,196,,Rex Tim,,
itzulia-basque-country:2026:4,4,13,12,,103,,Faure Prost Alexy,,
itzulia-basque-country:2026:4,4,14,7,,181,,August Andrew,,
itzulia-basque-country:2026:4,4,15,14,,112,,Ermakov Roman,,
itzulia-basque-country:2026:4,4,16,16,,85,,Ramos Unai,,
itzulia-basque-country:2026:4,4,17,20,,193,,Huising Menno,,
itzulia-basque-country:2026:4,4,18,17,,83,,Gimeno Nil,,
itzulia-basque-country:2026:4,4,19,18,,161,,Ugarte Gari,,
itzulia-basque-country:2026:4,4,20,21,,57,,Herzog Emil,,
itzulia-basque-country:2026:4,4,21,22,,213,,Ørn-Kristoff Felix,,
itzulia-basque-country:2026:5,5,1,1,,61,,Seixas Paul,,
itzulia-basque-country:2026:5,5,2,2,,172,,Beloki Markel,,
itzulia-basque-country:2026:5,5,3,3,,56,,Tuckwell Luke,,
itzulia-basque-country:2026:5,5,4,7,,36,,Pericas Adrià,,
itzulia-basque-country:2026:5,5,5,5,,63,,Bisiaux Léo,,
itzulia-basque-country:2026:5,5,6,8,,205,,Kulset Johannes,,
itzulia-basque-country:2026:5,5,7,4,,186,,Øxenberg Peter,,
itzulia-basque-country:2026:5,5,8,10,,177,,Leonard Michael,,
itzulia-basque-country:2026:5,5,9,11,,106,,Martinez Juan Guillermo,,
itzulia-basque-country:2026:5,5,10,6,,105,,Koerdt Bjorn,,
itzulia-basque-country:2026:5,5,11,12,,196,,Rex Tim,,
itzulia-basque-country:2026:5,5,12,9,,23,,Decomble Maxime,,
itzulia-basque-country:2026:5,5,13,13,,103,,Faure Prost Alexy,,
itzulia-basque-country:2026:5,5,14,14,,181,,August Andrew,,
itzulia-basque-country:2026:5,5,15,15,,112,,Ermakov Roman,,
itzulia-basque-country:2026:5,5,16,16,,85,,Ramos Unai,,
itzulia-basque-country:2026:5,5,17,20,,57,,Herzog Emil,,
itzulia-basque-country:2026:5,5,18,17,,193,,Huising Menno,,
itzulia-basque-country:2026:5,5,19,18,,83,,Gimeno Nil,,
itzulia-basque-country:2026:5,5,20,19,,161,,Ugarte Gari,,
itzulia-basque-country:2026:5,5,21,21,,213,,Ørn-Kristoff Felix,,
itzulia-basque-country:2026:6,6,1,1,,61,,Seixas Paul,,
itzulia-basque-country:2026:6,6,2,2,,172,,Beloki Markel,,
itzulia-basque-country:2026:6,6,3,4,,36,,Pericas Adrià,,
itzulia-basque-country:2026:6,6,4,6,,205,,Kulset Johannes,,
itzulia-basque-country:2026:6,6,5,8,,177,,Leonard Michael,,
itzulia-basque-country:2026:6,6,6,7,,186,,Øxenberg Peter,,
itzulia-basque-country:2026:6,6,7,11,,196,,Rex Tim,,
itzulia-basque-country:2026:6,6,8,14,,181,,August Andrew,,
itzulia-basque-country:2026:6,6,9,12,,23,,Decomble Maxime,,
itzulia-basque-country:2026:6,6,10,10,,105,,Koerdt Bjorn,,
itzulia-basque-country:2026:6,6,11,18,,193,,Huising Menno,,
itzulia-basque-country:2026:6,6,12,16,,85,,Ramos Unai,,
itzulia-basque-country:2026:6,6,13,20,,161,,Ugarte Gari,,
itzulia-basque-country:2026:6,6,14,21,,213,,Ørn-Kristoff Felix,,
paris-nice:2026:1,1,1,,,161,,Lamperti Luke,,
paris-nice:2026:1,1,2,,,131,,Fretin Milan,,
paris-nice:2026:1,1,3,,,175,,Løland Sakarias Koller,,
paris-nice:2026:1,1,4,,,112,,Donaldson Robert,,
paris-nice:2026:1,1,5,,,13,,Pithie Laurence,,
paris-nice:2026:1,1,6,,,173,,Fredheim Stian,,
paris-nice:2026:1,1,7,,,127,,Vinokurov Nicolas,,
paris-nice:2026:1,1,8,,,41,,Ayuso Juan,,
paris-nice:2026:1,1,9,,,47,,Vacek Mathias,,
paris-nice:2026:1,1,10,,,186,,Houcou Emmanuel,,
paris-nice:2026:1,1,11,,,203,,Debruyne Ramses,,
paris-nice:2026:1,1,12,,,26,,Vauquelin Kévin,,
paris-nice:2026:1,1,13,,,92,,Askey Lewis,,
paris-nice:2026:1,1,14,,,77,,Milesi Lorenzo,,
paris-nice:2026:1,1,15,,,81,,Paret-Peintre Valentin,,
paris-nice:2026:1,1,16,,,141,,Rondel Mathys,,
paris-nice:2026:1,1,17,,,33,,Arrieta Igor,,
paris-nice:2026:1,1,18,,,75,,García Pierna Raúl,,
