Location UID,Stage UID,Year,Stage,Type,Location Name,Distance
itzulia-basque-country:2026:1:mountains:1,itzulia-basque-country:2026:1,,1,,,2.35
itzulia-basque-country:2026:2:mountains:1,itzulia-basque-country:2026:2,,2,,,14
itzulia-basque-country:2026:2:mountains:2,itzulia-basque-country:2026:2,,2,,,87.4
itzulia-basque-country:2026:2:mountains:3,itzulia-basque-country:2026:2,,2,,,102.4
itzulia-basque-country:2026:2:mountains:4,itzulia-basque-country:2026:2,,2,,,145.4
itzulia-basque-country:2026:3:mountains:1,itzulia-basque-country:2026:3,,3,,,81.3
itzulia-basque-country:2026:3:mountains:2,itzulia-basque-country:2026:3,,3,,,120.8
itzulia-basque-country:2026:3:mountains:3,itzulia-basque-country:2026:3,,3,,,128
itzulia-basque-country:2026:4:mountains:1,itzulia-basque-country:2026:4,,4,,,12.4
itzulia-basque-country:2026:4:mountains:2,itzulia-basque-country:2026:4,,4,,,48.4
itzulia-basque-country:2026:4:mountains:3,itzulia-basque-country:2026:4,,4,,,59.2
itzulia-basque-country:2026:4:mountains:4,itzulia-basque-country:2026:4,,4,,,75.7
itzulia-basque-country:2026:4:mountains:5,itzulia-basque-country:2026:4,,4,,,106.9
itzulia-basque-country:2026:4:mountains:6,itzulia-basque-country:2026:4,,4,,,138.8
itzulia-basque-country:2026:4:mountains:7,itzulia-basque-country:2026:4,,4,,,158.4
itzulia-basque-country:2026:5:mountains:1,itzulia-basque-country:2026:5,,5,,,13.4
itzulia-basque-country:2026:5:mountains:2,itzulia-basque-country:2026:5,,5,,,24.7
itzulia-basque-country:2026:5:mountains:3,itzulia-basque-country:2026:5,,5,,,50
itzulia-basque-country:2026:5:mountains:4,itzulia-basque-country:2026:5,,5,,,87.1
itzulia-basque-country:2026:5:mountains:5,itzulia-basque-country:2026:5,,5,,,108.9
itzulia-basque-country:2026:5:mountains:6,itzulia-basque-country:2026:5,,5,,,131.7
itzulia-basque-country:2026:5:mountains:7,itzulia-basque-country:2026:5,,5,,,149.3
itzulia-basque-country:2026:5:mountains:8,itzulia-basque-country:2026:5,,5,,,163.7
itzulia-basque-country:2026:6:mountains:1,itzulia-basque-country:2026:6,,6,,,6.9
itzulia-basque-country:2026:6:mountains:2,itzulia-basque-country:2026:6,,6,,,33.8
itzulia-basque-country:2026:6:mountains:3,itzulia-basque-country:2026:6,,6,,,49.8
itzulia-basque-country:2026:6:mountains:4,itzulia-basque-country:2026:6,,6,,,78.9
itzulia-basque-country:2026:6:mountains:5,itzulia-basque-country:2026:6,,6,,,94.8
itzulia-basque-country:2026:6:mountains:6,itzulia-basque-country:2026:6,,6,,,126
paris-nice:2026:1:mountains:1,paris-nice:2026:1,,1,,,107.5
paris-nice:2026:1:mountains:2,paris-nice:2026:1,,1,,,124.1
paris-nice:2026:1:mountains:3,paris-nice:2026:1,,1,,,143.3
paris-nice:2026:1:mountains:4,paris-nice:2026:1,,1,,,159.9
paris-nice:2026:2:mountains:1,paris-nice:2026:2,,2,,,30.3
paris-nice:2026:2:mountains:2,paris-nice:2026:2,,2,,,81
paris-nice:2026:2:mountains:3,paris-nice:2026:2,,2,,,113.4
paris-nice:2026:4:mountains:1,paris-nice:2026:4,,4,,,133.4
paris-nice:2026:4:mountains:2,paris-nice:2026:4,,4,,,171.9
paris-nice:2026:4:mountains:3,paris-nice:2026:4,,4,,,195
paris-nice:2026:5:mountains:1,paris-nice:2026:5,,5,,,63.7
paris-nice:2026:5:mountains:2,paris-nice:2026:5,,5,,,106.7
paris-nice:2026:5:mountains:3,paris-nice:2026:5,,5,,,172.8
paris-nice:2026:5:mountains:4,paris-nice:2026:5,,5,,,186.4
paris-nice:2026:5:mountains:5,paris-nice:2026:5,,5,,,197.2
paris-nice:2026:6:mountains:1,paris-nice:2026:6,,6,,,25.1
paris-nice:2026:6:mountains:2,paris-nice:2026:6,,6,,,105.7
paris-nice:2026:6:mountains:3,paris-nice:2026:6,,6,,,146.1
paris-nice:2026:6:mountains:4,paris-nice:2026:6,,6,,,174.8
paris-nice:2026:8:mountains:1,paris-nice:2026:8,,8,,,50.7
paris-nice:2026:8:mountains:2,paris-nice:2026:8,,8,,,83.2
paris-nice:2026:8:mountains:3,paris-nice:2026:8,,8,,,110.7
tirreno-adriatico:2026:2:mountains:1,tirreno-adriatico:2026:2,,2,,,
tirreno-adriatico:2026:2:mountains:2,tirreno-adriatico:2026:2,,2,,,
tirreno-adriatico:2026:3:mountains:1,tirreno-adriatico:2026:3,,3,,,
tirreno-adriatico:2026:4:mountains:1,tirreno-adriatico:2026:4,,4,,,
tirreno-adriatico:2026:4:mountains:2,tirreno-adriatico:2026:4,,4,,,
tirreno-adriatico:2026:4:mountains:3,tirreno-adriatico:2026:4,,4,,,
tirreno-adriatico:2026:4:mountains:4,tirreno-adriatico:2026:4,,4,,,
tirreno-adriatico:2026:5:mountains:1,tirreno-adriatico:2026:5,,5,,,
tirreno-adriatico:2026:5:mountains:2,tirreno-adriatico:2026:5,,5,,,
tirreno-adriatico:2026:5:mountains:3,tirreno-adriatico:2026:5,,5,,,
tirreno-adriatico:2026:5:mountains:4,tirreno-adriatico:2026:5,,5,,,
tirreno-adriatico:2026:6:mountains:1,tirreno-adriatico:2026:6,,6,,,
tirreno-adriatico:2026:6:mountains:2,tirreno-adriatico:2026:6,,6,,,
tirreno-adriatico:2026:6:mountains:3,tirreno-adriatico:2026:6,,6,,,
tirreno-adriatico:2026:6:mountains:4,tirreno-adriatico:2026:6,,6,,,
tirreno-adriatico:2026:7:mountains:1,tirreno-adriatico:2026:7,,7,,,
tour-down-under:2026:1:mountains:1,tour-down-under:2026:1,,1,,,44.3
tour-down-under:2026:1:mountains:2,tour-down-under:2026:1,,1,,,75.8
tour-down-under:2026:1:mountains:3,tour-down-under:2026:1,,1,,,107.3
tour-down-under:2026:2:mountains:1,tour-down-under:2026:2,,2,,,10
tour-down-under:2026:2:mountains:2,tour-down-under:2026:2,,2,,,74.5
tour-down-under:2026:2:mountains:3,tour-down-under:2026:2,,2,,,135.2
tour-down-under:2026:3:mountains:1,tour-down-under:2026:3,,3,,,32.2
tour-down-under:2026:3:mountains:2,tour-down-under:2026:3,,3,,,116.4
tour-down-under:2026:4:mountains:1,tour-down-under:2026:4,,4,,,13.2
tour-down-under:2026:4:mountains:2,tour-down-under:2026:4,,4,,,46.8
tour-down-under:2026:4:mountains:3,tour-down-under:2026:4,,4,,,
tour-down-under:2026:5:mountains:1,tour-down-under:2026:5,,5,,,20.8
tour-down-under:2026:5:mountains:2,tour-down-under:2026:5,,5,,,63.4
tour-down-under:2026:5:mountains:3,tour-down-under:2026:5,,5,,,105.9
tour-down-under:2026:5:mountains:4,tour-down-under:2026:5,,5,,,148.5
volta-a-catalunya:2026:1:mountains:1,volta-a-catalunya:2026:1,,1,,,8
volta-a-catalunya:2026:1:mountains:2,volta-a-catalunya:2026:1,,1,,,74.9
volta-a-catalunya:2026:2:mountains:1,volta-a-catalunya:2026:2,,2,,,18.3
volta-a-catalunya:2026:3:mountains:1,volta-a-catalunya:2026:3,,3,,,34
volta-a-catalunya:2026:3:mountains:2,volta-a-catalunya:2026:3,,3,,,49.6
volta-a-catalunya:2026:3:mountains:3,volta-a-catalunya:2026:3,,3,,,114.9
volta-a-catalunya:2026:4:mountains:1,volta-a-catalunya:2026:4,,4,,,8.5
volta-a-catalunya:2026:4:mountains:2,volta-a-catalunya:2026:4,,4,,,41.9
volta-a-catalunya:2026:5:mountains:1,volta-a-catalunya:2026:5,,5,,,32.7
volta-a-catalunya:2026:5:mountains:2,volta-a-catalunya:2026:5,,5,,,65.2
volta-a-catalunya:2026:5:mountains:3,volta-a-catalunya:2026:5,,5,,,93.1
volta-a-catalunya:2026:5:mountains:4,volta-a-catalunya:2026:5,,5,,,119.4
volta-a-catalunya:2026:5:mountains:5,volta-a-catalunya:2026:5,,5,,,155.3
volta-a-catalunya:2026:6:mountains:1,volta-a-catalunya:2026:6,,6,,,63.3
volta-a-catalunya:2026:6:mountains:2,volta-a-catalunya:2026:6,,6,,,98.4
volta-a-catalunya:2026:6:mountains:3,volta-a-catalunya:2026:6,,6,,,131.5
volta-a-catalunya:2026:6:mountains:4,volta-a-catalunya:2026:6,,6,,,158.2
volta-a-catalunya:2026:7:mountains:1,volta-a-catalunya:2026:7,,7,,,42.5
volta-a-catalunya:2026:7:mountains:2,volta-a-catalunya:2026:7,,7,,,50.4
volta-a-catalunya:2026:7:mountains:3,volta-a-catalunya:2026:7,,7,,,58.2
volta-a-catalunya:2026:7:mountains:4,volta-a-catalunya:2026:7,,7,,,66.1
volta-a-catalunya:2026:7:mountains:5,volta-a-catalunya:2026:7,,7,,,73.9
volta-a-catalunya:2026:7:mountains:6,volta-a-catalunya:2026:7,,7,,,81.8
volta-a-catalunya:2026:7:mountains:7,volta-a-catalunya:2026:7,,7,,,89.7
