Location UID,Rank,Bib,Points,Bonis
itzulia-basque-country:2026:1:mountains:1,1,61,3,
itzulia-basque-country:2026:1:mountains:1,2,42,2,
itzulia-basque-country:2026:1:mountains:1,3,32,1,
itzulia-basque-country:2026:2:mountains:1,1,156,6,
itzulia-basque-country:2026:2:mountains:1,2,167,4,
itzulia-basque-country:2026:2:mountains:1,3,77,2,
itzulia-basque-country:2026:2:mountains:1,4,7,1,
itzulia-basque-country:2026:2:mountains:2,1,156,3,
itzulia-basque-country:2026:2:mountains:2,2,167,2,
itzulia-basque-country:2026:2:mountains:2,3,101,1,
itzulia-basque-country:2026:2:mountains:3,1,156,3,
itzulia-basque-country:2026:2:mountains:3,2,191,2,
itzulia-basque-country:2026:2:mountains:3,3,94,1,
itzulia-basque-country:2026:2:mountains:4,1,61,10,
itzulia-basque-country:2026:2:mountains:4,2,46,8,
itzulia-basque-country:2026:2:mountains:4,3,176,6,
itzulia-basque-country:2026:2:mountains:4,4,53,4,
itzulia-basque-country:2026:2:mountains:4,5,91,2,
itzulia-basque-country:2026:2:mountains:4,6,141,1,
itzulia-basque-country:2026:3:mountains:1,1,156,6,
itzulia-basque-country:2026:3:mountains:1,2,33,4,
itzulia-basque-country:2026:3:mountains:1,3,12,2,
itzulia-basque-country:2026:3:mountains:1,4,215,1,
itzulia-basque-country:2026:3:mountains:2,1,33,6,
itzulia-basque-country:2026:3:mountains:2,2,202,4,
itzulia-basque-country:2026:3:mountains:2,3,6,2,
itzulia-basque-country:2026:3:mountains:2,4,95,1,
itzulia-basque-country:2026:3:mountains:3,1,33,3,
itzulia-basque-country:2026:3:mountains:3,2,185,2,
itzulia-basque-country:2026:3:mountains:3,3,175,1,
itzulia-basque-country:2026:4:mountains:1,1,156,3,
itzulia-basque-country:2026:4:mountains:1,2,25,2,
itzulia-basque-country:2026:4:mountains:1,3,37,1,
itzulia-basque-country:2026:4:mountains:2,1,204,3,
itzulia-basque-country:2026:4:mountains:2,2,47,2,
itzulia-basque-country:2026:4:mountains:2,3,183,1,
itzulia-basque-country:2026:4:mountains:3,1,203,3,
itzulia-basque-country:2026:4:mountains:3,2,175,2,
itzulia-basque-country:2026:4:mountains:3,3,156,1,
itzulia-basque-country:2026:4:mountains:4,1,32,3,
itzulia-basque-country:2026:4:mountains:4,2,93,2,
itzulia-basque-country:2026:4:mountains:4,3,126,1,
itzulia-basque-country:2026:4:mountains:5,1,32,3,
itzulia-basque-country:2026:4:mountains:5,2,203,2,
itzulia-basque-country:2026:4:mountains:5,3,171,1,
itzulia-basque-country:2026:4:mountains:6,1,37,3,
itzulia-basque-country:2026:4:mountains:6,2,202,2,
itzulia-basque-country:2026:4:mountains:6,3,93,1,
itzulia-basque-country:2026:4:mountains:7,1,142,6,
itzulia-basque-country:2026:4:mountains:7,2,202,4,
itzulia-basque-country:2026:4:mountains:7,3,16,2,
itzulia-basque-country:2026:4:mountains:7,4,21,1,
itzulia-basque-country:2026:5:mountains:1,1,216,3,
itzulia-basque-country:2026:5:mountains:1,2,97,2,
itzulia-basque-country:2026:5:mountains:1,3,204,1,
itzulia-basque-country:2026:5:mountains:2,1,203,10,
itzulia-basque-country:2026:5:mountains:2,2,37,8,
itzulia-basque-country:2026:5:mountains:2,3,172,6,
itzulia-basque-country:2026:5:mountains:2,4,93,4,
itzulia-basque-country:2026:5:mountains:2,5,36,2,
itzulia-basque-country:2026:5:mountains:2,6,177,1,
itzulia-basque-country:2026:5:mountains:3,1,203,3,
itzulia-basque-country:2026:5:mountains:3,2,52,2,
itzulia-basque-country:2026:5:mountains:3,3,107,1,
itzulia-basque-country:2026:5:mountains:4,1,195,3,
itzulia-basque-country:2026:5:mountains:4,2,216,2,
itzulia-basque-country:2026:5:mountains:4,3,203,1,
itzulia-basque-country:2026:5:mountains:5,1,183,10,
itzulia-basque-country:2026:5:mountains:5,2,65,8,
itzulia-basque-country:2026:5:mountains:5,3,61,6,
itzulia-basque-country:2026:5:mountains:5,4,53,4,
itzulia-basque-country:2026:5:mountains:5,5,176,2,
itzulia-basque-country:2026:5:mountains:5,6,171,1,
itzulia-basque-country:2026:5:mountains:6,1,37,3,
itzulia-basque-country:2026:5:mountains:6,2,171,2,
itzulia-basque-country:2026:5:mountains:6,3,65,1,
itzulia-basque-country:2026:5:mountains:7,1,61,10,
itzulia-basque-country:2026:5:mountains:7,2,53,8,
itzulia-basque-country:2026:5:mountains:7,3,97,6,
itzulia-basque-country:2026:5:mountains:7,4,51,4,
itzulia-basque-country:2026:5:mountains:7,5,141,2,
itzulia-basque-country:2026:5:mountains:7,6,11,1,
itzulia-basque-country:2026:5:mountains:8,1,61,3,
itzulia-basque-country:2026:5:mountains:8,2,53,2,
itzulia-basque-country:2026:5:mountains:8,3,97,1,
itzulia-basque-country:2026:6:mountains:1,1,46,3,
itzulia-basque-country:2026:6:mountains:1,2,171,2,
itzulia-basque-country:2026:6:mountains:1,3,37,1,
itzulia-basque-country:2026:6:mountains:2,1,37,6,
itzulia-basque-country:2026:6:mountains:2,2,171,4,
itzulia-basque-country:2026:6:mountains:2,3,46,2,
itzulia-basque-country:2026:6:mountains:2,4,186,1,
itzulia-basque-country:2026:6:mountains:3,1,93,3,
itzulia-basque-country:2026:6:mountains:3,2,171,2,
itzulia-basque-country:2026:6:mountains:3,3,46,1,
itzulia-basque-country:2026:6:mountains:4,1,37,6,
itzulia-basque-country:2026:6:mountains:4,2,171,4,
itzulia-basque-country:2026:6:mountains:4,3,46,2,
itzulia-basque-country:2026:6:mountains:4,4,186,1,
itzulia-basque-country:2026:6:mountains:5,1,37,3,
itzulia-basque-country:2026:6:mountains:5,2,46,2,
itzulia-basque-country:2026:6:mountains:5,3,171,1,
itzulia-basque-country:2026:6:mountains:6,1,181,6,
itzulia-basque-country:2026:6:mountains:6,2,94,4,
itzulia-basque-country:2026:6:mountains:6,3,126,2,
itzulia-basque-country:2026:6:mountains:6,4,101,1,
paris-nice:2026:1:mountains:1,1,84,3,
paris-nice:2026:1:mountains:1,2,167,2,
paris-nice:2026:1:mountains:1,3,196,1,
paris-nice:2026:1:mountains:2,1,84,3,
paris-nice:2026:1:mountains:2,2,196,2,
paris-nice:2026:1:mountains:2,3,167,1,
paris-nice:2026:1:mountains:3,1,84,3,
paris-nice:2026:1:mountains:3,2,196,2,
paris-nice:2026:1:mountains:3,3,114,1,
paris-nice:2026:1:mountains:4,1,196,3,
paris-nice:2026:1:mountains:4,2,214,2,
paris-nice:2026:1:mountains:4,3,114,1,
paris-nice:2026:2:mountains:1,1,84,3,
paris-nice:2026:2:mountains:1,2,196,2,
paris-nice:2026:2:mountains:1,3,197,1,
paris-nice:2026:2:mountains:2,1,84,3,
paris-nice:2026:2:mountains:2,2,196,2,
paris-nice:2026:2:mountains:2,3,93,1,
paris-nice:2026:2:mountains:3,1,84,3,
paris-nice:2026:2:mountains:3,2,196,2,
paris-nice:2026:2:mountains:3,3,195,1,
paris-nice:2026:4:mountains:1,1,16,3,
paris-nice:2026:4:mountains:1,2,14,2,
paris-nice:2026:4:mountains:1,3,11,1,
paris-nice:2026:4:mountains:2,1,16,5,
paris-nice:2026:4:mountains:2,2,15,3,
paris-nice:2026:4:mountains:2,3,11,2,
paris-nice:2026:4:mountains:2,4,1,1,
paris-nice:2026:4:mountains:3,1,1,10,
paris-nice:2026:4:mountains:3,2,11,5,
paris-nice:2026:4:mountains:3,3,15,3,
paris-nice:2026:4:mountains:3,4,16,2,
paris-nice:2026:4:mountains:3,5,165,1,
paris-nice:2026:5:mountains:1,1,17,3,
paris-nice:2026:5:mountains:1,2,127,2,
paris-nice:2026:5:mountains:1,3,101,1,
paris-nice:2026:5:mountains:2,1,17,3,
paris-nice:2026:5:mountains:2,2,62,2,
paris-nice:2026:5:mountains:2,3,101,1,
paris-nice:2026:5:mountains:3,1,74,5,
paris-nice:2026:5:mountains:3,2,17,3,
paris-nice:2026:5:mountains:3,3,101,2,
paris-nice:2026:5:mountains:3,4,25,1,
paris-nice:2026:5:mountains:4,1,1,10,
paris-nice:2026:5:mountains:4,2,51,5,
paris-nice:2026:5:mountains:4,3,121,3,
paris-nice:2026:5:mountains:4,4,26,2,
paris-nice:2026:5:mountains:4,5,81,1,
paris-nice:2026:5:mountains:5,1,1,5,
paris-nice:2026:5:mountains:5,2,81,3,
paris-nice:2026:5:mountains:5,3,141,2,
paris-nice:2026:5:mountains:5,4,51,1,
paris-nice:2026:6:mountains:1,1,63,3,
paris-nice:2026:6:mountains:1,2,142,2,
paris-nice:2026:6:mountains:1,3,66,1,
paris-nice:2026:6:mountains:2,1,33,3,
paris-nice:2026:6:mountains:2,2,145,2,
paris-nice:2026:6:mountains:2,3,25,1,
paris-nice:2026:6:mountains:3,1,33,5,
paris-nice:2026:6:mountains:3,2,145,3,
paris-nice:2026:6:mountains:3,3,25,2,
paris-nice:2026:6:mountains:3,4,82,1,
paris-nice:2026:6:mountains:4,1,121,5,
paris-nice:2026:6:mountains:4,2,81,3,
paris-nice:2026:6:mountains:4,3,165,2,
paris-nice:2026:6:mountains:4,4,51,1,
paris-nice:2026:8:mountains:1,1,81,10,
paris-nice:2026:8:mountains:1,2,37,5,
paris-nice:2026:8:mountains:1,3,1,3,
paris-nice:2026:8:mountains:1,4,3,2,
paris-nice:2026:8:mountains:1,5,4,1,
paris-nice:2026:8:mountains:2,1,81,10,
paris-nice:2026:8:mountains:2,2,1,5,
paris-nice:2026:8:mountains:2,3,3,3,
paris-nice:2026:8:mountains:2,4,37,2,
paris-nice:2026:8:mountains:2,5,4,1,
paris-nice:2026:8:mountains:3,1,1,10,
paris-nice:2026:8:mountains:3,2,51,5,
paris-nice:2026:8:mountains:3,3,121,3,
paris-nice:2026:8:mountains:3,4,165,2,
paris-nice:2026:8:mountains:3,5,141,1,
tirreno-adriatico:2026:2:mountains:1,1,186,5,
tirreno-adriatico:2026:2:mountains:1,2,33,3,
tirreno-adriatico:2026:2:mountains:1,3,24,2,
tirreno-adriatico:2026:2:mountains:1,4,141,1,
tirreno-adriatico:2026:2:mountains:2,1,1,5,
tirreno-adriatico:2026:2:mountains:2,2,211,3,
tirreno-adriatico:2026:2:mountains:2,3,135,2,
tirreno-adriatico:2026:2:mountains:2,4,225,1,
tirreno-adriatico:2026:3:mountains:1,1,186,5,
tirreno-adriatico:2026:3:mountains:1,2,33,3,
tirreno-adriatico:2026:3:mountains:1,3,24,2,
tirreno-adriatico:2026:3:mountains:1,4,153,1,
tirreno-adriatico:2026:4:mountains:1,1,186,5,
tirreno-adriatico:2026:4:mountains:1,2,66,3,
tirreno-adriatico:2026:4:mountains:1,3,37,2,
tirreno-adriatico:2026:4:mountains:1,4,95,1,
tirreno-adriatico:2026:4:mountains:2,1,186,15,
tirreno-adriatico:2026:4:mountains:2,2,66,10,
tirreno-adriatico:2026:4:mountains:2,3,95,7,
tirreno-adriatico:2026:4:mountains:2,4,163,5,
tirreno-adriatico:2026:4:mountains:2,5,222,3,
tirreno-adriatico:2026:4:mountains:2,6,154,2,
tirreno-adriatico:2026:4:mountains:2,7,37,1,
tirreno-adriatico:2026:4:mountains:3,1,66,5,
tirreno-adriatico:2026:4:mountains:3,2,186,3,
tirreno-adriatico:2026:4:mountains:3,3,95,2,
tirreno-adriatico:2026:4:mountains:3,4,163,1,
tirreno-adriatico:2026:4:mountains:4,1,211,5,
tirreno-adriatico:2026:4:mountains:4,2,1,3,
tirreno-adriatico:2026:4:mountains:4,3,194,2,
tirreno-adriatico:2026:4:mountains:4,4,135,1,
tirreno-adriatico:2026:5:mountains:1,1,33,15,
tirreno-adriatico:2026:5:mountains:1,2,73,10,
tirreno-adriatico:2026:5:mountains:1,3,7,7,
tirreno-adriatico:2026:5:mountains:1,4,57,5,
tirreno-adriatico:2026:5:mountains:1,5,123,3,
tirreno-adriatico:2026:5:mountains:1,6,201,2,
tirreno-adriatico:2026:5:mountains:1,7,6,1,
tirreno-adriatico:2026:5:mountains:2,1,6,5,
tirreno-adriatico:2026:5:mountains:2,2,7,3,
tirreno-adriatico:2026:5:mountains:2,3,73,2,
tirreno-adriatico:2026:5:mountains:2,4,201,1,
tirreno-adriatico:2026:5:mountains:3,1,57,5,
tirreno-adriatico:2026:5:mountains:3,2,201,3,
tirreno-adriatico:2026:5:mountains:3,3,73,2,
tirreno-adriatico:2026:5:mountains:3,4,97,1,
tirreno-adriatico:2026:5:mountains:4,1,57,5,
tirreno-adriatico:2026:5:mountains:4,2,194,3,
tirreno-adriatico:2026:5:mountains:4,3,211,2,
tirreno-adriatico:2026:5:mountains:4,4,225,1,
tirreno-adriatico:2026:6:mountains:1,1,195,15,
tirreno-adriatico:2026:6:mountains:1,2,71,10,
tirreno-adriatico:2026:6:mountains:1,3,121,7,
tirreno-adriatico:2026:6:mountains:1,4,52,5,
tirreno-adriatico:2026:6:mountains:1,5,45,3,
tirreno-adriatico:2026:6:mountains:1,6,62,2,
tirreno-adriatico:2026:6:mountains:1,7,236,1,
tirreno-adriatico:2026:6:mountains:2,1,45,5,
tirreno-adriatico:2026:6:mountains:2,2,62,3,
tirreno-adriatico:2026:6:mountains:2,3,195,2,
tirreno-adriatico:2026:6:mountains:2,4,71,1,
tirreno-adriatico:2026:6:mountains:3,1,62,5,
tirreno-adriatico:2026:6:mountains:3,2,45,3,
tirreno-adriatico:2026:6:mountains:3,3,212,2,
tirreno-adriatico:2026:6:mountains:3,4,217,1,
tirreno-adriatico:2026:6:mountains:4,1,211,5,
tirreno-adriatico:2026:6:mountains:4,2,225,3,
tirreno-adriatico:2026:6:mountains:4,3,194,2,
tirreno-adriatico:2026:6:mountains:4,4,135,1,
tirreno-adriatico:2026:7:mountains:1,1,1,5,
tirreno-adriatico:2026:7:mountains:1,2,211,3,
tirreno-adriatico:2026:7:mountains:1,3,131,2,
tirreno-adriatico:2026:7:mountains:1,4,194,1,
tour-down-under:2026:1:mountains:1,1,167,5,
tour-down-under:2026:1:mountains:1,2,57,3,
tour-down-under:2026:1:mountains:1,3,56,2,
tour-down-under:2026:1:mountains:2,1,167,5,
tour-down-under:2026:1:mountains:2,2,56,3,
tour-down-under:2026:1:mountains:2,3,57,2,
tour-down-under:2026:1:mountains:3,1,167,5,
tour-down-under:2026:1:mountains:3,2,57,3,
tour-down-under:2026:1:mountains:3,3,61,2,
tour-down-under:2026:2:mountains:1,1,124,7,
tour-down-under:2026:2:mountains:1,2,167,5,
tour-down-under:2026:2:mountains:1,3,197,3,
tour-down-under:2026:2:mountains:1,4,183,1,
tour-down-under:2026:2:mountains:2,1,124,10,
tour-down-under:2026:2:mountains:2,2,167,6,
tour-down-under:2026:2:mountains:2,3,23,4,
tour-down-under:2026:2:mountains:2,4,166,2,
tour-down-under:2026:2:mountains:2,5,197,1,
tour-down-under:2026:2:mountains:3,1,6,10,
tour-down-under:2026:2:mountains:3,2,1,6,
tour-down-under:2026:2:mountains:3,3,127,4,
tour-down-under:2026:2:mountains:3,4,91,2,
tour-down-under:2026:2:mountains:3,5,43,1,
tour-down-under:2026:3:mountains:1,1,167,10,
tour-down-under:2026:3:mountains:1,2,85,6,
tour-down-under:2026:3:mountains:1,3,57,4,
tour-down-under:2026:3:mountains:1,4,62,2,
tour-down-under:2026:3:mountains:1,5,157,1,
tour-down-under:2026:3:mountains:2,1,167,5,
tour-down-under:2026:3:mountains:2,2,85,3,
tour-down-under:2026:3:mountains:2,3,57,2,
tour-down-under:2026:4:mountains:1,1,52,10,
tour-down-under:2026:4:mountains:1,2,196,6,
tour-down-under:2026:4:mountains:1,3,136,4,
tour-down-under:2026:4:mountains:1,4,167,2,
tour-down-under:2026:4:mountains:1,5,133,1,
tour-down-under:2026:4:mountains:2,1,196,5,
tour-down-under:2026:4:mountains:2,2,52,3,
tour-down-under:2026:4:mountains:2,3,136,2,
tour-down-under:2026:4:mountains:3,1,196,5,
tour-down-under:2026:4:mountains:3,2,136,3,
tour-down-under:2026:4:mountains:3,3,37,2,
tour-down-under:2026:5:mountains:1,1,124,7,
tour-down-under:2026:5:mountains:1,2,191,5,
tour-down-under:2026:5:mountains:1,3,142,3,
tour-down-under:2026:5:mountains:1,4,41,1,
tour-down-under:2026:5:mountains:2,1,136,7,
tour-down-under:2026:5:mountains:2,2,24,5,
tour-down-under:2026:5:mountains:2,3,122,3,
tour-down-under:2026:5:mountains:2,4,167,1,
tour-down-under:2026:5:mountains:3,1,136,7,
tour-down-under:2026:5:mountains:3,2,122,5,
tour-down-under:2026:5:mountains:3,3,24,3,
tour-down-under:2026:5:mountains:3,4,93,1,
tour-down-under:2026:5:mountains:4,1,21,7,
tour-down-under:2026:5:mountains:4,2,24,5,
tour-down-under:2026:5:mountains:4,3,122,3,
tour-down-under:2026:5:mountains:4,4,192,1,
volta-a-catalunya:2026:1:mountains:1,1,167,3,
volta-a-catalunya:2026:1:mountains:1,2,217,2,
volta-a-catalunya:2026:1:mountains:1,3,226,1,
volta-a-catalunya:2026:1:mountains:2,1,167,10,
volta-a-catalunya:2026:1:mountains:2,2,226,8,
volta-a-catalunya:2026:1:mountains:2,3,207,6,
volta-a-catalunya:2026:1:mountains:2,4,197,4,
volta-a-catalunya:2026:1:mountains:2,5,217,2,
volta-a-catalunya:2026:1:mountains:2,6,75,1,
volta-a-catalunya:2026:2:mountains:1,1,167,3,
volta-a-catalunya:2026:2:mountains:1,2,166,2,
volta-a-catalunya:2026:2:mountains:1,3,205,1,
volta-a-catalunya:2026:3:mountains:1,1,167,10,
volta-a-catalunya:2026:3:mountains:1,2,217,8,
volta-a-catalunya:2026:3:mountains:1,3,165,6,
volta-a-catalunya:2026:3:mountains:1,4,195,4,
volta-a-catalunya:2026:3:mountains:1,5,203,2,
volta-a-catalunya:2026:3:mountains:1,6,224,1,
volta-a-catalunya:2026:3:mountains:2,1,167,5,
volta-a-catalunya:2026:3:mountains:2,2,217,3,
volta-a-catalunya:2026:3:mountains:2,3,165,2,
volta-a-catalunya:2026:3:mountains:2,4,195,1,
volta-a-catalunya:2026:3:mountains:3,1,167,3,
volta-a-catalunya:2026:3:mountains:3,2,217,2,
volta-a-catalunya:2026:3:mountains:3,3,165,1,
volta-a-catalunya:2026:4:mountains:1,1,215,3,
volta-a-catalunya:2026:4:mountains:1,2,194,2,
volta-a-catalunya:2026:4:mountains:1,3,152,1,
volta-a-catalunya:2026:4:mountains:2,1,167,5,
volta-a-catalunya:2026:4:mountains:2,2,147,3,
volta-a-catalunya:2026:4:mountains:2,3,205,2,
