Location UID,Stage UID,Year,Stage,Type,Location Name,Distance
itzulia-basque-country:2026:1:points:1,itzulia-basque-country:2026:1,,1,,,
itzulia-basque-country:2026:2:points:1,itzulia-basque-country:2026:2,,2,,,94.9
itzulia-basque-country:2026:2:points:2,itzulia-basque-country:2026:2,,2,,,
itzulia-basque-country:2026:2:points:3,itzulia-basque-country:2026:2,,2,,,
itzulia-basque-country:2026:3:points:1,itzulia-basque-country:2026:3,,3,,,
itzulia-basque-country:2026:3:points:2,itzulia-basque-country:2026:3,,3,,,133.5
itzulia-basque-country:2026:3:points:3,itzulia-basque-country:2026:3,,3,,,
itzulia-basque-country:2026:4:points:1,itzulia-basque-country:2026:4,,4,,,100
itzulia-basque-country:2026:4:points:2,itzulia-basque-country:2026:4,,4,,,
itzulia-basque-country:2026:4:points:3,itzulia-basque-country:2026:4,,4,,,
itzulia-basque-country:2026:5:points:1,itzulia-basque-country:2026:5,,5,,,
itzulia-basque-country:2026:5:points:2,itzulia-basque-country:2026:5,,5,,,143.1
itzulia-basque-country:2026:5:points:3,itzulia-basque-country:2026:5,,5,,,
itzulia-basque-country:2026:6:points:1,itzulia-basque-country:2026:6,,6,,,58.2
itzulia-basque-country:2026:6:points:2,itzulia-basque-country:2026:6,,6,,,
itzulia-basque-country:2026:6:points:3,itzulia-basque-country:2026:6,,6,,,
paris-nice:2026:1:points:1,paris-nice:2026:1,,1,,,154.3
paris-nice:2026:1:points:2,paris-nice:2026:1,,1,,,
paris-nice:2026:2:points:1,paris-nice:2026:2,,2,,,140.9
paris-nice:2026:2:points:2,paris-nice:2026:2,,2,,,
paris-nice:2026:4:points:1,paris-nice:2026:4,,4,,,164.7
paris-nice:2026:4:points:2,paris-nice:2026:4,,4,,,
paris-nice:2026:5:points:1,paris-nice:2026:5,,5,,,163.1
paris-nice:2026:5:points:2,paris-nice:2026:5,,5,,,
paris-nice:2026:6:points:1,paris-nice:2026:6,,6,,,163.2
paris-nice:2026:6:points:2,paris-nice:2026:6,,6,,,
paris-nice:2026:7:points:1,paris-nice:2026:7,,7,,,
paris-nice:2026:8:points:1,paris-nice:2026:8,,8,,,121.8
paris-nice:2026:8:points:2,paris-nice:2026:8,,8,,,
tirreno-adriatico:2026:1:points:1,tirreno-adriatico:2026:1,,1,,,
tirreno-adriatico:2026:2:points:1,tirreno-adriatico:2026:2,,2,,,134
tirreno-adriatico:2026:2:points:2,tirreno-adriatico:2026:2,,2,,,
tirreno-adriatico:2026:3:points:1,tirreno-adriatico:2026:3,,3,,,164.6
tirreno-adriatico:2026:3:points:2,tirreno-adriatico:2026:3,,3,,,
tirreno-adriatico:2026:4:points:1,tirreno-adriatico:2026:4,,4,,,185.1
tirreno-adriatico:2026:4:points:2,tirreno-adriatico:2026:4,,4,,,
tirreno-adriatico:2026:5:points:1,tirreno-adriatico:2026:5,,5,,,117.8
tirreno-adriatico:2026:5:points:2,tirreno-adriatico:2026:5,,5,,,
tirreno-adriatico:2026:6:points:1,tirreno-adriatico:2026:6,,6,,,51.3
tirreno-adriatico:2026:6:points:2,tirreno-adriatico:2026:6,,6,,,
tirreno-adriatico:2026:7:points:1,tirreno-adriatico:2026:7,,7,,,98.4
tirreno-adriatico:2026:7:points:2,tirreno-adriatico:2026:7,,7,,,
tour-down-under:2026:1:points:1,tour-down-under:2026:1,,1,,,10.8
tour-down-under:2026:1:points:2,tour-down-under:2026:1,,1,,,68.2
tour-down-under:2026:1:points:3,tour-down-under:2026:1,,1,,,99.7
tour-down-under:2026:1:points:4,tour-down-under:2026:1,,1,,,
tour-down-under:2026:2:points:1,tour-down-under:2026:2,,2,,,49.4
tour-down-under:2026:2:points:2,tour-down-under:2026:2,,2,,,87.4
tour-down-under:2026:2:points:3,tour-down-under:2026:2,,2,,,
tour-down-under:2026:3:points:1,tour-down-under:2026:3,,3,,,57.8
tour-down-under:2026:3:points:2,tour-down-under:2026:3,,3,,,100.4
tour-down-under:2026:3:points:3,tour-down-under:2026:3,,3,,,
tour-down-under:2026:4:points:1,tour-down-under:2026:4,,4,,,56.4
tour-down-under:2026:4:points:2,tour-down-under:2026:4,,4,,,107.4
tour-down-under:2026:4:points:3,tour-down-under:2026:4,,4,,,
tour-down-under:2026:5:points:1,tour-down-under:2026:5,,5,,,45.1
tour-down-under:2026:5:points:2,tour-down-under:2026:5,,5,,,130.3
tour-down-under:2026:5:points:3,tour-down-under:2026:5,,5,,,
uae-tour:2026:1:points:1,uae-tour:2026:1,,1,,,54.6
uae-tour:2026:1:points:2,uae-tour:2026:1,,1,,,
uae-tour:2026:1:points:3,uae-tour:2026:1,,1,,,
uae-tour:2026:2:points:1,uae-tour:2026:2,,2,,,
uae-tour:2026:3:points:1,uae-tour:2026:3,,3,,,103.4
uae-tour:2026:3:points:2,uae-tour:2026:3,,3,,,
