Location UID,Rank,Bib,Points,Bonis,Today
itzulia-basque-country:2026:1:points:1,1,61,25,,0
itzulia-basque-country:2026:1:points:1,2,183,20,,0
itzulia-basque-country:2026:1:points:1,3,34,16,,0
itzulia-basque-country:2026:1:points:1,4,51,14,,0
itzulia-basque-country:2026:1:points:1,5,6,12,,0
itzulia-basque-country:2026:1:points:1,6,53,10,,0
itzulia-basque-country:2026:1:points:1,7,181,9,,0
itzulia-basque-country:2026:1:points:1,8,32,8,,0
itzulia-basque-country:2026:1:points:1,9,46,7,,0
itzulia-basque-country:2026:1:points:1,10,177,6,,0
itzulia-basque-country:2026:1:points:1,11,97,5,,0
itzulia-basque-country:2026:1:points:1,12,191,4,,0
itzulia-basque-country:2026:1:points:1,13,31,3,,0
itzulia-basque-country:2026:1:points:1,14,194,2,,0
itzulia-basque-country:2026:1:points:1,15,4,1,,0
itzulia-basque-country:2026:2:points:1,1,7,10,,0
itzulia-basque-country:2026:2:points:1,2,191,6,,0
itzulia-basque-country:2026:2:points:1,3,156,4,,0
itzulia-basque-country:2026:2:points:2,1,7,,6″,6
itzulia-basque-country:2026:2:points:2,2,191,,4″,4
itzulia-basque-country:2026:2:points:2,3,94,,2″,2
itzulia-basque-country:2026:2:points:3,1,61,25,10″,10
itzulia-basque-country:2026:2:points:3,2,46,20,6″,6
itzulia-basque-country:2026:2:points:3,3,51,16,4″,4
itzulia-basque-country:2026:2:points:3,4,91,14,,0
itzulia-basque-country:2026:2:points:3,5,194,12,,0
itzulia-basque-country:2026:2:points:3,6,176,10,,0
itzulia-basque-country:2026:2:points:3,7,141,9,,0
itzulia-basque-country:2026:2:points:3,8,53,8,,0
itzulia-basque-country:2026:2:points:3,9,11,7,,0
itzulia-basque-country:2026:2:points:3,10,14,6,,0
itzulia-basque-country:2026:2:points:3,11,31,5,,0
itzulia-basque-country:2026:2:points:3,12,41,4,,0
itzulia-basque-country:2026:2:points:3,13,172,3,,0
itzulia-basque-country:2026:2:points:3,14,13,2,,0
itzulia-basque-country:2026:2:points:3,15,93,1,,0
itzulia-basque-country:2026:3:points:1,1,33,,6″,6
itzulia-basque-country:2026:3:points:1,2,22,,4″,4
itzulia-basque-country:2026:3:points:1,3,12,,2″,2
itzulia-basque-country:2026:3:points:2,1,185,10,,0
itzulia-basque-country:2026:3:points:2,2,33,6,,0
itzulia-basque-country:2026:3:points:2,3,215,4,,0
itzulia-basque-country:2026:3:points:3,1,185,25,10″,10
itzulia-basque-country:2026:3:points:3,2,33,20,6″,6
itzulia-basque-country:2026:3:points:3,3,95,16,4″,4
itzulia-basque-country:2026:3:points:3,4,6,14,,0
itzulia-basque-country:2026:3:points:3,5,202,12,,0
itzulia-basque-country:2026:3:points:3,6,173,10,,0
itzulia-basque-country:2026:3:points:3,7,22,9,,0
itzulia-basque-country:2026:3:points:3,8,12,8,,0
itzulia-basque-country:2026:3:points:3,9,21,7,,0
itzulia-basque-country:2026:3:points:3,10,215,6,,0
itzulia-basque-country:2026:3:points:3,11,175,5,,0
itzulia-basque-country:2026:3:points:3,12,61,4,,0
itzulia-basque-country:2026:3:points:3,13,194,3,,0
itzulia-basque-country:2026:3:points:3,14,176,2,,0
itzulia-basque-country:2026:3:points:3,15,97,1,,0
itzulia-basque-country:2026:4:points:1,1,32,10,,0
itzulia-basque-country:2026:4:points:1,2,204,6,,0
itzulia-basque-country:2026:4:points:1,3,102,4,,0
itzulia-basque-country:2026:4:points:2,1,203,,6″,6
itzulia-basque-country:2026:4:points:2,2,124,,4″,4
itzulia-basque-country:2026:4:points:2,3,21,,2″,2
itzulia-basque-country:2026:4:points:3,1,142,25,10″,10
itzulia-basque-country:2026:4:points:3,2,202,20,6″,6
itzulia-basque-country:2026:4:points:3,3,16,16,4″,4
itzulia-basque-country:2026:4:points:3,4,141,14,,0
itzulia-basque-country:2026:4:points:3,5,21,12,,0
itzulia-basque-country:2026:4:points:3,6,111,10,,0
itzulia-basque-country:2026:4:points:3,7,93,9,,0
itzulia-basque-country:2026:4:points:3,8,61,8,,0
itzulia-basque-country:2026:4:points:3,9,12,7,,0
itzulia-basque-country:2026:4:points:3,10,33,6,,0
itzulia-basque-country:2026:4:points:3,11,124,5,,0
itzulia-basque-country:2026:4:points:3,12,194,4,,0
itzulia-basque-country:2026:4:points:3,13,176,3,,0
itzulia-basque-country:2026:4:points:3,14,46,2,,0
itzulia-basque-country:2026:4:points:3,15,14,1,,0
itzulia-basque-country:2026:5:points:1,1,142,,6″,6
itzulia-basque-country:2026:5:points:1,2,65,,4″,4
itzulia-basque-country:2026:5:points:1,3,53,,2″,2
itzulia-basque-country:2026:5:points:2,1,37,10,,0
itzulia-basque-country:2026:5:points:2,2,171,6,,0
itzulia-basque-country:2026:5:points:2,3,65,4,,0
itzulia-basque-country:2026:5:points:3,1,61,25,10″,10
itzulia-basque-country:2026:5:points:3,2,53,20,6″,6
itzulia-basque-country:2026:5:points:3,3,97,16,4″,4
itzulia-basque-country:2026:5:points:3,4,183,14,,0
itzulia-basque-country:2026:5:points:3,5,141,12,,0
itzulia-basque-country:2026:5:points:3,6,14,10,,0
itzulia-basque-country:2026:5:points:3,7,202,9,,0
itzulia-basque-country:2026:5:points:3,8,11,8,,0
itzulia-basque-country:2026:5:points:3,9,111,7,,0
itzulia-basque-country:2026:5:points:3,10,176,6,,0
itzulia-basque-country:2026:5:points:3,11,91,5,,0
itzulia-basque-country:2026:5:points:3,12,51,4,,0
itzulia-basque-country:2026:5:points:3,13,33,3,,0
itzulia-basque-country:2026:5:points:3,14,62,2,,0
itzulia-basque-country:2026:5:points:3,15,87,1,,0
itzulia-basque-country:2026:6:points:1,1,171,10,,0
itzulia-basque-country:2026:6:points:1,2,46,6,,0
itzulia-basque-country:2026:6:points:1,3,93,4,,0
itzulia-basque-country:2026:6:points:2,1,46,,6″,6
itzulia-basque-country:2026:6:points:2,2,37,,4″,4
itzulia-basque-country:2026:6:points:2,3,171,,2″,2
itzulia-basque-country:2026:6:points:3,1,181,25,10″,10
itzulia-basque-country:2026:6:points:3,2,94,20,6″,6
itzulia-basque-country:2026:6:points:3,3,101,16,4″,4
itzulia-basque-country:2026:6:points:3,4,126,14,,0
itzulia-basque-country:2026:6:points:3,5,197,12,,0
itzulia-basque-country:2026:6:points:3,6,124,10,,0
itzulia-basque-country:2026:6:points:3,7,17,9,,0
itzulia-basque-country:2026:6:points:3,8,202,8,,0
itzulia-basque-country:2026:6:points:3,9,122,7,,0
itzulia-basque-country:2026:6:points:3,10,21,6,,0
itzulia-basque-country:2026:6:points:3,11,171,5,,0
itzulia-basque-country:2026:6:points:3,12,151,4,,0
itzulia-basque-country:2026:6:points:3,13,35,3,,0
itzulia-basque-country:2026:6:points:3,14,37,2,,0
itzulia-basque-country:2026:6:points:3,15,33,1,,0
paris-nice:2026:1:points:1,1,114,10,6″,6
paris-nice:2026:1:points:1,2,84,6,4″,4
paris-nice:2026:1:points:1,3,113,4,2″,2
paris-nice:2026:1:points:2,1,161,25,10″,10
paris-nice:2026:1:points:2,2,212,22,6″,6
paris-nice:2026:1:points:2,3,72,20,4″,4
paris-nice:2026:1:points:2,4,131,18,,0
paris-nice:2026:1:points:2,5,91,16,,0
paris-nice:2026:1:points:2,6,201,14,,0
paris-nice:2026:1:points:2,7,125,12,,0
paris-nice:2026:1:points:2,8,175,10,,0
paris-nice:2026:1:points:2,9,7,8,,0
paris-nice:2026:1:points:2,10,112,6,,0
paris-nice:2026:2:points:1,1,212,10,6″,6
paris-nice:2026:2:points:1,2,41,6,4″,4
paris-nice:2026:2:points:1,3,161,4,2″,2
paris-nice:2026:2:points:2,1,124,25,10″,10
paris-nice:2026:2:points:2,2,13,22,6″,6
paris-nice:2026:2:points:2,3,85,20,4″,4
paris-nice:2026:2:points:2,4,22,18,,0
paris-nice:2026:2:points:2,5,161,16,,0
paris-nice:2026:2:points:2,6,146,14,,0
paris-nice:2026:2:points:2,7,92,12,,0
paris-nice:2026:2:points:2,8,97,10,,0
paris-nice:2026:2:points:2,9,67,8,,0
paris-nice:2026:2:points:2,10,191,6,,0
paris-nice:2026:4:points:1,1,1,10,6″,6
paris-nice:2026:4:points:1,2,11,6,4″,4
paris-nice:2026:4:points:1,3,12,4,2″,2
paris-nice:2026:4:points:2,1,1,15,10″,10
paris-nice:2026:4:points:2,2,11,12,6″,6
paris-nice:2026:4:points:2,3,15,10,4″,4
paris-nice:2026:4:points:2,4,16,8,,0
paris-nice:2026:4:points:2,5,165,6,,0
paris-nice:2026:4:points:2,6,26,5,,0
paris-nice:2026:4:points:2,7,51,4,,0
paris-nice:2026:4:points:2,8,61,3,,0
paris-nice:2026:4:points:2,9,201,2,,0
paris-nice:2026:4:points:2,10,37,1,,0
