Race UID,Stage UID,Year,Date,Stage,Stage Type,Parcours Type,Departure,Arrival,Distance,Vertical Meters,Stage Pcs Url
tour-down-under:2026,tour-down-under:2026:0,2026,2026-01-20,0,Prologue,p1,Adelaide,Adelaide,3.6,14,https://www.procyclingstats.com/race/tour-down-under/2026/prologue
tour-down-under:2026,tour-down-under:2026:1,2026,2026-01-21,1,,p2,Tanunda,Tanunda,120.6,1107,https://www.procyclingstats.com/race/tour-down-under/2026/stage-1
tour-down-under:2026,tour-down-under:2026:2,2026,2026-01-22,2,,p2,Norwood,Uraidla,148.1,2787,https://www.procyclingstats.com/race/tour-down-under/2026/stage-2
tour-down-under:2026,tour-down-under:2026:3,2026,2026-01-23,3,,p2,Henley Beach,Nairne,140.8,1870,https://www.procyclingstats.com/race/tour-down-under/2026/stage-3
tour-down-under:2026,tour-down-under:2026:4,2026,2026-01-24,4,,p3,Brighton,Willunga,130.8,1458,https://www.procyclingstats.com/race/tour-down-under/2026/stage-4
tour-down-under:2026,tour-down-under:2026:5,2026,2026-01-25,5,,p3,Stirling,Stirling,169.8,2992,https://www.procyclingstats.com/race/tour-down-under/2026/stage-5
uae-tour:2026,uae-tour:2026:1,2026,2026-02-16,1,,p3,Madinat Zayed Majlis,Liwa Palace,118,1018,https://www.procyclingstats.com/race/uae-tour/2026/stage-1
uae-tour:2026,uae-tour:2026:2,2026,2026-02-17,2,ITT,p1,Hudayriyat Island,Hudayriyat Island,12.2,101,https://www.procyclingstats.com/race/uae-tour/2026/stage-2
uae-tour:2026,uae-tour:2026:3,2026,2026-02-18,3,,p5,Umm al Quwain,Jebel Mobrah,183,2617,https://www.procyclingstats.com/race/uae-tour/2026/stage-3
uae-tour:2026,uae-tour:2026:4,2026,2026-02-19,4,,p2,Fujairah,Fujairah,182,2360,https://www.procyclingstats.com/race/uae-tour/2026/stage-4
uae-tour:2026,uae-tour:2026:5,2026,2026-02-20,5,,p1,Dubai Al Mamzar Park,Hamdan Bin Mohammed Smart University,168,867,https://www.procyclingstats.com/race/uae-tour/2026/stage-5
uae-tour:2026,uae-tour:2026:6,2026,2026-02-21,6,,p5,Al Ain Museum,Jebel Hafeet,168,1646,https://www.procyclingstats.com/race/uae-tour/2026/stage-6
uae-tour:2026,uae-tour:2026:7,2026,2026-02-22,7,,p1,Zayed National Museum,Abu Dhabi Breakwater,149,587,https://www.procyclingstats.com/race/uae-tour/2026/stage-7
paris-nice:2026,paris-nice:2026:1,2026,2026-03-08,1,,p2,Achères,Carrières-sous-Poissy,170.9,1779,https://www.procyclingstats.com/race/paris-nice/2026/stage-1
paris-nice:2026,paris-nice:2026:2,2026,2026-03-09,2,,p1,Épône,Montargis,187,1192,https://www.procyclingstats.com/race/paris-nice/2026/stage-2
tirreno-adriatico:2026,tirreno-adriatico:2026:1,2026,2026-03-09,1,ITT,p1,Lido di Camaiore,Lido di Camaiore,11.5,8,https://www.procyclingstats.com/race/tirreno-adriatico/2026/stage-1
paris-nice:2026,paris-nice:2026:3,2026,2026-03-10,3,TTT,p2,Cosne-Cours-sur-Loire,Pouilly-sur-Loire,23.5,212,https://www.procyclingstats.com/race/paris-nice/2026/stage-3
tirreno-adriatico:2026,tirreno-adriatico:2026:2,2026,2026-03-10,2,,p3,Camaiore,San Gimignano,206,2208,https://www.procyclingstats.com/race/tirreno-adriatico/2026/stage-2
paris-nice:2026,paris-nice:2026:4,2026,2026-03-11,4,,p3,Bourges,Uchon,195,2145,https://www.procyclingstats.com/race/paris-nice/2026/stage-4
tirreno-adriatico:2026,tirreno-adriatico:2026:3,2026,2026-03-11,3,,p1,Cortona,Magliano de' Marsi,221,2436,https://www.procyclingstats.com/race/tirreno-adriatico/2026/stage-3
paris-nice:2026,paris-nice:2026:5,2026,2026-03-12,5,,p3,Cormoranche-sur-Saône,Colombier-le-Vieux,206.3,2724,https://www.procyclingstats.com/race/paris-nice/2026/stage-5
