Pcs Id,Surname,First Names,Date Of Birth,Nationality
jonas-abrahamsen,ABRAHAMSEN,Jonas,,
pascal-ackermann,ACKERMANN,Pascal,,
roger-adria,ADRIÀ,Roger,,
toon-aerts,AERTS,Toon,,
edoardo-affini,AFFINI,Edoardo,,
jon-agirre,AGIRRE,Jon,,
yago-aguirre,AGUIRRE,Yago,,
julian-alaphilippe,ALAPHILIPPE,Julian,,
vincenzo-albanese,ALBANESE,Vincenzo,,
giovanni-aleotti,ALEOTTI,Giovanni,,
piet-allegaert,ALLEGAERT,Piet,,
joao-almeida,ALMEIDA,João,,
nicolas-alustiza,ALUSTIZA,Nicolás,,
tobias-lund-andresen,ANDRESEN,Tobias Lund,,
mario-aparicio-munoz,APARICIO,Mario,,
alex-aranburu,ARANBURU,Alex,,
jorge-arcas,ARCAS,Jorge,,
thymen-arensman,ARENSMAN,Thymen,,
bruno-armirail,ARMIRAIL,Bruno,,
nikias-arndt,ARNDT,Nikias,,
igor-arrieta-lizarraga,ARRIETA,Igor,,
julen-arriola-bengoa-beitia,ARRIOLABENGOA,Julen,,
huub-artz,ARTZ,Huub,,
kasper-asgreen,ASGREEN,Kasper,,
lewis-askey,ASKEY,Lewis,,
andrew-august,AUGUST,Andrew,,
orluis-aular,AULAR,Orluis,,
juan-ayuso-pesquera,AYUSO,Juan,,
hugo-aznar,AZNAR,Hugo,,
unai-aznar-vijuesca,AZNAR,Unai,,
xabier-mikel-azparren-irurzun,AZPARREN,Xabier Mikel,,
andrea-bagioli,BAGIOLI,Andrea,,
davide-bais,BAIS,Davide,,
mattia-bais,BAIS,Mattia,,
abel-balderstone-roumens,BALDERSTONE,Abel,,
maurice-ballerstedt,BALLERSTEDT,Maurice,,
alexandre-balmer,BALMER,Alexandre,,
fernando-barcelo,BARCELÓ,Fernando,,
warren-barguil,BARGUIL,Warren,,
filippo-baroncini,BARONCINI,Filippo,,
william-barta,BARTA,Will,,
ayco-bastiaens,BASTIAENS,Ayco,,
samuele-battistella,BATTISTELLA,Samuele,,
alex-baudin,BAUDIN,Alex,,
phil-bauhaus,BAUHAUS,Phil,,
sjoerd-bax,BAX,Sjoerd,,
lennert-belmans,BELMANS,Lennert,,
markel-beloki,BELOKI,Markel,,
george-bennett,BENNETT,George,,
sam-bennett,BENNETT,Sam,,
jenno-berckmoes,BERCKMOES,Jenno,,
julien-bernard,BERNARD,Julien,,
urko-berrade-fernandez,BERRADE,Urko,,
clement-berthet,BERTHET,Clément,,
sebastian-berwick,BERWICK,Sebastian,,
alberto-bettiol,BETTIOL,Alberto,,
cedric-beullens,BEULLENS,Cedric,,
pello-bilbao,BILBAO,Pello,,
leo-bisiaux,BISIAUX,Léo,,
stefan-bissegger,BISSEGGER,Stefan,,
pavel-bittner,BITTNER,Pavel,,
mikel-bizkarra,BIZKARRA,Mikel,,
mikkel-bjerg,BJERG,Mikkel,,
oliver-bleddyn,BLEDDYN,Oliver,,
erlend-blikra,BLIKRA,Erlend,,
william-blume-levy,BLUME LEVY,William,,
adrien-boichis,BOICHIS,Adrien,,
guillaume-boivin,BOIVIN,Guillaume,,
cees-bol,BOL,Cees,,
kamiel-bonneu,BONNEU,Kamiel,,
joan-bou,BOU,Joan,,
koen-bouwman,BOUWMAN,Koen,,
lewis-bower,BOWER,Lewis,,
vito-braet,BRAET,Vito,,
clement-braz-afonso,BRAZ AFONSO,Clément,,
matthew-brennan,BRENNAN,Matthew,,
marco-brenner,BRENNER,Marco,,
alberto-bruttomesso,BRUTTOMESSO,Alberto,,
emanuel-buchmann,BUCHMANN,Emanuel,,
santiago-buitrago-sanchez,BUITRAGO,Santiago,,
josh-burnett,BURNETT,Josh,,
francesco-busatto,BUSATTO,Francesco,,
sven-erik-bystrom,BYSTRØM,Sven Erik,,
carl-frederik-bevort,BÉVORT,Carl-Frederik,,
walter-calzoni,CALZONI,Walter,,
victor-campenaerts,CAMPENAERTS,Victor,,
marcel-camprubi,CAMPRUBÍ,Marcel,,
richard-carapaz,CARAPAZ,Richard,,
pablo-carrascosa,CARRASCOSA,Pablo,,
damiano-caruso,CARUSO,Damiano,,
jan-castellon,CASTELLON,Jan,,
pablo-castrillo-zapater,CASTRILLO,Pablo,,
mattia-cattaneo,CATTANEO,Mattia,,
ezra-caudell,CAUDELL,Ezra,,
remi-cavagna,CAVAGNA,Rémi,,
jefferson-alexander-cepeda,CEPEDA,Jefferson Alexander,,
jefferson-cepeda-hernandez,CEPEDA,Jefferson Alveiro,,
oscar-chamberlain,CHAMBERLAIN,Oscar,,
clement-champoussin,CHAMPOUSSIN,Clément,,
anthon-charmig,CHARMIG,Anthon,,
fabio-christen,CHRISTEN,Fabio,,
jan-christen,CHRISTEN,Jan,,
sean-christian,CHRISTIAN,Sean,,
sergio-geovani-chumil-gonzalez,CHUMIL,Sergio Geovani,,
giulio-ciccone,CICCONE,Giulio,,
simon-clarke,CLARKE,Simon,,
ivan-cobo-cayon,COBO,Iván,,
filippo-conca,CONCA,Filippo,,
nicola-conci,CONCI,Nicola,,
simone-consonni,CONSONNI,Simone,,
bryan-coquard,COQUARD,Bryan,,
dillon-corkery,CORKERY,Dillon,,
magnus-cort-nielsen,CORT,Magnus,,
benoit-cosnefroy,COSNEFROY,Benoît,,
ewen-costiou,COSTIOU,Ewen,,
alessandro-covi,COVI,Alessandro,,
steff-cras,CRAS,Steff,,
ludovico-crescioli,CRESCIOLI,Ludovico,,
pier-andre-cote,CÔTÉ,Pier-André,,
alberto-dainese,DAINESE,Alberto,,
sergi-darder,DARDER,Sergi,,
florian-dauphin,DAUPHIN,Florian,,
stefan-de-bod,DE BOD,Stefan,,
dries-de-bondt,DE BONDT,Dries,,
jasper-de-buyst,DE BUYST,Jasper,,
aime-de-gendt,DE GENDT,Aimé,,
timo-de-jong,DE JONG,Timo,,
david-de-la-cruz,DE LA CRUZ,David,,
arnaud-de-lie,DE LIE,Arnaud,,
sander-de-pestel,DE PESTEL,Sander,,
laurens-de-plus,DE PLUS,Laurens,,
davide-de-pretto,DE PRETTO,Davide,,
steffen-de-schuyteneer,DE SCHUYTENEER,Steffen,,
lindsay-de-vylder,DE VYLDER,Lindsay,,
ramses-debruyne,DEBRUYNE,Ramses,,
maxime-decomble,DECOMBLE,Maxime,,
john-degenkolb,DEGENKOLB,John,,
simon-dehairs,DEHAIRS,Simon,,
tibor-del-grosso,DEL GROSSO,Tibor,,
isaac-del-toro,DEL TORO,Isaac,,
joris-delbove,DELBOVE,Joris,,
alexandre-delettre,DELETTRE,Alexandre,,
nico-denz,DENZ,Nico,,
robbe-dhondt,DHONDT,Robbe,,
silvan-dillier,DILLIER,Silvan,,
matthew-dinham,DINHAM,Matthew,,
aaron-dockx,DOCKX,Aaron,,
robert-donaldson,DONALDSON,Robert,,
tom-donnenwirth,DONNENWIRTH,Tom,,
mark-donovan,DONOVAN,Mark,,
robin-donze,DONZÉ,Robin,,
paul-double,DOUBLE,Paul,,
owain-doull,DOULL,Owain,,
jarrad-drizners,DRIZNERS,Jarrad,,
sandy-dujardin,DUJARDIN,Sandy,,
edward-irl-dunbar,DUNBAR,Eddie,,
luke-durbridge,DURBRIDGE,Luke,,
jose-manuel-diaz-gallego,DÍAZ,José Manuel,,
patrick-eddy,EDDY,Patrick,,
pascal-eenkhoorn,EENKHOORN,Pascal,,
itamar-einhorn,EINHORN,Itamar,,
inigo-elosegui,ELOSEGUI,Iñigo,,
felix-engelhardt,ENGELHARDT,Felix,,
jacob-eriksson,ERIKSSON,Jacob,,
roman-ermakov,ERMAKOV,Roman,,
zak-erzen,ERŽEN,Žak,,
haimar-etxeberria,ETXEBERRIA,Haimar,,
afonso-eulalio,EULÁLIO,Afonso,,
remco-evenepoel,EVENEPOEL,Remco,,
adrian-fajardo,FAJARDO,Adrián,,
jose-luis-faura-asensio,FAURA,José Luis,,
alexy-faure-prost,FAURE PROST,Alexy,,
yevgeniy-fedorov,FEDOROV,Yevgeniy,,
samuel-fernandez-garcia,FERNÁNDEZ,Samuel,,
samuel-fernandez-heres,FERNÁNDEZ,Samuel,,
sinuhe-fernandez-rodriguez,FERNÁNDEZ,Sinuhé,,
filippo-fiorelli,FIORELLI,Filippo,,
finn-fisher-black,FISHER-BLACK,Finn,,
sean-flynn,FLYNN,Sean,,
samuel-florez-garces,FLÓREZ,Samuel,,
anders-foldager,FOLDAGER,Anders,,
titouan-fontaine,FONTAINE,Titouan,,
davide-formolo,FORMOLO,Davide,,
